isbn,main author
9781558743663,Dave Pelzer 
9780439488402,Jerry Spinelli
9780679724346,Lao Tzu
9780446528054,Nicholas Sparks 
9780099578512,Salman Rushdie
9780450031069,Stephen King 
9780553278224,Ray Bradbury
9781416989431,Becca Fitzpatrick 
9780771068713,Michael Ondaatje
9780142000656,John Steinbeck
9780375507250,David Mitchell
9780060589462,Robert M. Pirsig
9780804139021,Andy Weir 
9780582418271,John Grisham 
9780446547567,Nicholas Sparks 
9781583485095,Willa Cather
9780062085481,Tahereh Mafi
9780440238157,Philip Pullman
9780679774389,Boris Pasternak
9780451527882,Victor Hugo
9780812970067,Dante Alighieri
9780552995870,Laura Esquivel
B003YFIUW8,Emma Donoghue 
9780385335973,Diana Gabaldon 
9780385334204,Kurt Vonnegut Jr.
9780141311371,Roald Dahl
9781627792127,Leigh Bardugo 
9780545044257,J.K. Rowling
9780785819110,Charles Darwin
9781400030651,Rohinton Mistry
9780316134026,Laini Taylor 
9780451528957,Robert Louis Stevenson
9781481426305,Cassandra Clare 
9780312532758,Alyson Noel 
B00SSJYF8S,Philip Pullman
9780435233075,Arthur Miller
9781451627282,Stephen King 
9780679751526,John Berendt
9780822210894,Tennessee Williams
9780316921176,David Foster Wallace
9780937832387,Niccolò Machiavelli
9780521618748,William Shakespeare
9780553213485,Johann Wolfgang von Goethe
B000FCK71U,Lisa See 
9780525423270,Stephanie Perkins 
9780553582024,George R.R. Martin
9780446617796,James Patterson 
9780525423645,Ally Condie 
9780743496315,V.C. Andrews
9780743225427,Annie Proulx
9781400064168,Laura Hillenbrand
9781576469231,Emmuska Orczy
9780449213445,Chaim Potok
9781573225519,Nick Hornby
9781476746586,Anthony Doerr 
9780975925515,Ki Longfellow 
9780786817870,Eoin Colfer
9780142402498,Astrid Lindgren
9780747599876,J.K. Rowling
9780747560593,Jeffrey Eugenides
9780375408267,Bernhard Schlink
9780743496728,Jodi Picoult 
9781423146728,Rick Riordan 
9781920769208,Gregory David Roberts
9780609608449,Erik Larson 
9781590525135,Francine Rivers 
9781593081430,Edith Wharton
9780316068048,Stephenie Meyer
9780385504225,Dan Brown 
B000O76ON6,William Gibson
9780312360283,P.C. Cast 
9780670016907,John Steinbeck
9781593082642,Jane Austen
9780061125270,C.S. Lewis
9780192839992,James Joyce
9780451219367,J.R. Ward 
9781619634442,Sarah J. Maas 
9780060759957,Rebecca Wells 
9780393974997,T.S. Eliot
9780312379834,P.C. Cast 
9780060529703,Jonathan Safran Foer 
9781619630628,Sarah J. Maas 
9781406792393,Virginia Woolf
9780553279375,Maya Angelou
9780553803709,Isaac Asimov
9780316003728,Stephenie Meyer
9780142000694,John Steinbeck
9780062059994,Kiera Cass 
9781884365300,Upton Sinclair
9781416524304,Stephen King 
9780679764021,David Guterson
9780385335997,Diana Gabaldon 
9780679724773,Robert Graves
9781619630659,Sarah J. Maas 
9780349113913,David Sedaris
9780312360306,P.C. Cast 
9781420925432,E.M. Forster
9780143037613,Charles Dickens
9780140449143,Plato
9780007202324,C.S. Lewis
9780061007224,William Peter Blatty
9781848764569,R.D. Ronald
9780061139376,Neil Gaiman 
9780399162411,Rick Yancey
9780373210084,Julie Kagawa 
9780986437496,Kyle Keyes
9781442408920,Benjamin Alire Sáenz 
9780812972146,Anonymous
9780385739146,Lauren Kate 
9781595143174,Richelle Mead 
9780141439839,William Makepeace Thackeray
9780765346520,Terry Goodkind
9780140620191,Elizabeth Gaskell
9780316926348,Evelyn Waugh
9780618680009,Richard Dawkins 
9780451530172,W. Somerset Maugham
B000FBJCJE,Neal Stephenson 
9780307346605,Max Brooks 
9780689875342,Libba Bray 
9780425276761,Sylvia Day 
9780099471424,Anne Rice
9780375759239,H.G. Wells
9780061662690,Kelley Armstrong 
9780743261951,Alan Paton
9780806512815,Dalton Trumbo
9780141000183,Joanne Harris 
9780061245084,Jeaniene Frost 
9780143038252,Greg Mortenson 
9780802798237,Simone Elkeles 
9780062310637,Victoria Aveyard 
9781416914303,Cassandra Clare 
9781416997856,Cassandra Clare 
9780141439617,Wilkie Collins
9781416524793,Dan Brown 
9780670061051,Sarah Dessen 
9780451457998,Arthur C. Clarke
9780142406250,Sarah Dessen 
9780670022410,Deborah Harkness 
9781416912040,Neal Shusterman 
9780099465898,Irvine Welsh
9780001713222,P.D. Eastman
9780142000687,John Steinbeck
9780743482752,William Shakespeare
9780142437964,Marcel Proust
9780312370831,Tatiana de Rosnay 
9780395389492,Chris Van Allsburg
9780312362157,Sherrilyn Kenyon 
9780394604305,D.H. Lawrence
9780062059963,Kiera Cass 
9781442426641,Becca Fitzpatrick 
B000SEFH6A,Daniel Quinn
9780316767729,J.D. Salinger
B004IK988I,Michelle Hodkin 
9780345240347,J.R.R. Tolkien
9780385755887,Jennifer Niven 
9780385494786,Jon Krakauer 
9780141439655,Thomas Hardy
B01E4L4VEG,R.D. Ronald
9780061969553,Pittacus Lore
B008ELHBAO,Susan Ee 
9780441012183,Charlaine Harris 
9780192802637,Jane Austen
B000FC10Y8,Paullina Simons
