,0,1,2,3,4,5,6
Chuck Klosterman,Charles John Klosterman1972  (age 49–50)Breckenridge, Minnesota, U.S.,,,,
Teresa Driscoll ,n,o,n,e,,,
Lori Gottlieb ,n,o,n,e,,,
Lisa Gray ,n,o,n,e,,,
Marlo Lanz ,n,o,n,e,,,
Seanan McGuire , (1978-01-05) January 5, 1978 (age 44)Martinez, California, U.S.,,,
Jojo Moyes , (1969-08-04) 4 August 1969 (age 53)Maidstone, Kent, England,,,,
Alwyn Hamilton ,Alwyn HamiltonToronto, Ontario, Canada,,,,
Adrienne Woods ,n,o,n,e,,,
Yuval Noah Harari, (1976-02-24) February 24, 1976 (age 46)Kiryat Atta, Israel,,,,
Victoria Selman,n,o,n,e,,,
Kiersten White ,Kiersten White1983 (age 38–39)Utah,,,,,,
Arwen Elys Dayton ,American,,,,,,
Dan Howell,Daniel James Howell (1991-06-11) 11 June 1991 (age 31)Wokingham, Berkshire, England,,,,
Chris Colfer,Christopher Paul Colfer (1990-05-27) May 27, 1990 (age 32)[1]Clovis, California, U.S.,,,
Naomi Alderman ,1974 (age 47–48)London, England,,,,,
Megan Abbott , (1971-08-21) August 21, 1971 (age 51)Detroit, Michigan, U.S.,,,
Melissa Albert ,n,o,n,e,,,
Dot Hutchison,n,o,n,e,,,
Kevin Kwan ,关凯文,,,,,,
Taran Matharu ,n,o,n,e,,,
Lyn I. Kelly,n,o,n,e,,,
Nina LaCour ,n,o,n,e,,,
Lisa Williamson ,n,o,n,e,,,
Neil deGrasse Tyson , (1958-10-05) October 5, 1958 (age 64)New York City, New York, U.S.,,,
Kendare Blake ,Seoul, South Korea,,,,,
Nikki Moyes ,n,o,n,e,,,
Jasmine Warga ,n,o,n,e,,,
Paul Harbridge ,n,o,n,e,,,
Lisa Jewell , (1968-07-19) 19 July 1968 (age 54)London, England,,,,,
Kasie West ,n,o,n,e,,,
Pawan Mishra ,n,o,n,e,,,
Jeremy Forsyth ,n,o,n,e,,,
Zoltan Andrejkovics ,n,o,n,e,,,
Richard Powers, (1957-06-18) June 18, 1957 (age 65)Evanston, Illinois, US,,,
Gillian Flynn , (1971-02-24) February 24, 1971 (age 51)Kansas City, Missouri, U.S.,,,
Sam B. Miller II ,n,o,n,e,,,
Mary Burton ,n,o,n,e,,,
Hans Rosling,(1948-07-27)27 July 1948Uppsala, Sweden,,,,,
Elizabeth Gilbert , (1969-07-18) July 18, 1969 (age 53)Waterbury, Connecticut, U.S.,,,
Rolf Margenau ,n,o,n,e,,,
Patrick Ness, (1971-10-17) 17 October 1971 (age 51)Fort Belvoir, Virginia, US.,,,,
Barry Eisler ,1964 (age 57–58)New Jersey, U.S.,,,,,
Ruth Ware ,n,o,n,e,,,
Kazuo Ishiguro, (1954-11-08) 8 November 1954 (age 68)Nagasaki, Nagasaki Prefecture, Japan,,,,
James Patterson ,James Brendan Patterson (1947-03-22) March 22, 1947 (age 75)Newburgh, New York, U.S.,,,
Genevieve Cogman ,Author,,,,,,
Neil Gaiman ,Neil Richard Gaiman (1960-11-10) 10 November 1960 (age 62)Portchester, Hampshire, England,,,,
Neal Stephenson ,Neal Town Stephenson (1959-10-31) October 31, 1959 (age 63)Fort Meade, Maryland, U.S.,,,
Leigh Bardugo , (1975-04-06) April 6, 1975 (age 47)Jerusalem,,,,,
Sara Wolf ,n,o,n,e,,,
Samantha Shannon , (1991-11-08) November 8, 1991 (age 31)[1]Hammersmith, London, England[2],,,
Eoin Dempsey ,n,o,n,e,,,
George R.R. Martin,George Raymond Martin (1948-09-20) September 20, 1948 (age 74)Bayonne, New Jersey, U.S.,,,
Vera Jane Cook ,n,o,n,e,,,
Erin Lockwood ,n,o,n,e,,,
P.I. Alltraine ,n,o,n,e,,,
Diane Ackerman , (1948-10-07) October 7, 1948 (age 74),,,,,
Mary Ramsey ,Mary Jeanne Ramsey,,,,,,
Ki Longfellow ,Baby KellyDecember 9, 1944 (1944-12-09)Staten Island, New York, United States,,,
Brent LeVasseur ,n,o,n,e,,,
Colson Whitehead ,Arch Colson Chipp Whitehead (1969-11-06) November 6, 1969 (age 53)New York City, U.S.,,,,
Torey L. Hayden,n,o,n,e,,,
Erin Morgenstern , (1978-07-08) July 8, 1978 (age 44)[1],,,,,
Mitch Albom , (1958-05-23) May 23, 1958 (age 64)Passaic, New Jersey, U.S.,,,
Jez Jones,n,o,n,e,,,
David Grann, (1967-03-10) March 10, 1967 (age 55),,,,,
James Faro ,n,o,n,e,,,
Matt Haig , (1975-07-03) 3 July 1975 (age 47)Sheffield, South Yorkshire, England,,,,
Hiro Arikawa,9 June, 1972Kochi City, Kochi Prefecture,,,,
Olivia Hawker,n,o,n,e,,,
Margot Lee Shetterly , (1969-06-30) June 30, 1969 (age 53)Hampton, Virginia, U.S.,,,
Alice Oseman ,Alice May Oseman (1994-10-16) 16 October 1994 (age 28)Chatham, Kent, England,,,,
Liu Cixin ,刘慈欣,,,,,,
Ron Millicent ,n,o,n,e,,,
Karin Slaughter , (1971-01-06) January 6, 1971 (age 51)Georgia, United States,,,,
Cynthia Collins ,n,o,n,e,,,
Ally Carter ,Sarah Leigh Fogleman (1974-01-01) January 1, 1974 (age 48)Locust Grove, Oklahoma, U.S.,,,
Courtney Summers ,1986 (age 35–36)[1]Belleville, Ontario,,,,,
George Saunders, (1958-12-02) December 2, 1958 (age 64)Amarillo, Texas, U.S.,,,
Estelle Maskame ,n,o,n,e,,,
Robin Gregory ,1936Chester, Cheshire, England,,,,
M.L. Rio ,n,o,n,e,,,
Lin-Manuel Miranda, (1980-01-16) January 16, 1980 (age 42)New York City, U.S.,,,,
Cynthia Hand ,n,o,n,e,,,
Gary Santorella,n,o,n,e,,,
Felix Alexander ,n,o,n,e,,,
Oyinkan Braithwaite ,1988Lagos, Nigeria,,,,,
Rick Yancey, (1962-11-04) November 4, 1962 (age 60)Miami, Florida, U.S.,,,
Margaret Rogerson ,n,o,n,e,,,
Erin Watt ,n,o,n,e,,,
Victoria Scott , (1982-02-01) February 1, 1982 (age 40)New Braunfels, Texas, U.S.,,,
Morgan Rhodes ,Morgan Rhodes,,,,,,
Scott Hawkins ,Scott Hawkins,,,,,,
Sogyal Rinpoche,Rinpoche,,,,,,
Tahereh Mafi, (1988-11-09) November 9, 1988 (age 34)Connecticut, United States,,,,
Nicholas Sparks ,Nicholas Charles Sparks (1965-12-31) December 31, 1965 (age 56)Omaha, Nebraska, United States,,,
Tom DeLonge ,Thomas Matthew DeLonge (1975-12-13) December 13, 1975 (age 47)Poway, California, U.S.,,,
Eric M. Black ,n,o,n,e,,,
Tiffany McDaniel ,n,o,n,e,,,
Christopher Keene ,December 21, 1946Berkeley, California, U.S.,,,
Daniel M. Harrison,n,o,n,e,,,
Rupi Kaur , (1992-10-04) 4 October 1992 (age 30)Punjab, India,,,,,
Joseph Fink,n,o,n,e,,,
Julie Murphy ,n,o,n,e,,,
Victoria Helen Stone ,n,o,n,e,,,
David Sheff , (1955-12-23) December 23, 1955 (age 66)[1][2]Boston, Massachusetts, U.S.,,,
Connor Franta,Connor Joel Franta (1992-09-12) September 12, 1992 (age 30)Wisconsin, U.S.,,,,
Ryan Graudin ,n,o,n,e,,,
Kelly Barnhill ,n,o,n,e,,,
Vivian Barz ,n,o,n,e,,,
James Riley ,n,o,n,e,,,
A.J. Mouse ,n,o,n,e,,,
Gregg Olsen , (1959-03-05) March 5, 1959 (age 63)Seattle, Washington, U.S.,,,
Gayle Forman , (1970-06-05) June 5, 1970 (age 52)Los Angeles, California, U.S.,,,
Bridget Hodder ,n,o,n,e,,,
Amber Smith ,5 ft 10.5 in (179 cm)[1],,,,,,
Samantha Ryan Chandler ,n,o,n,e,,,
R.F. Kuang ,匡靈秀,,,,,,
Sally Green ,Sally Green,,,,,,
Robyn Schneider ,n,o,n,e,,,
Amanda Lovelace,1991,,,,,,
