,0,1,2,3,4,5,6
Marieke Nijkamp , (1986-01-23) 23 January 1986 (age 36)Zwolle, the Netherlands[1],,,,,
Amanda Foody ,n,o,n,e,,,
Violet LeVoit ,n,o,n,e,,,
Justin A. Reynolds ,n,o,n,e,,,
Jon Padgett ,n,o,n,e,,,
Peter Wohlleben,Bonn, West Germany,,,,,
Harper Sloan ,n,o,n,e,,,
Robert Harris ,n,o,n,e,,,
Carian Cole ,n,o,n,e,,,
Kristen Orlando ,n,o,n,e,,,
John Corey Whaley, (1984-01-19) January 19, 1984 (age 38)Springhill, Louisiana, USA,,,
Sue Lloyd-Roberts,(1950-10-27)27 October 1950Belgravia, London, England[1],,,,
Lori Benton ,n,o,n,e,,,
Megan Morrison ,n,o,n,e,,,
Jazz Jennings, (2000-10-06) October 6, 2000 (age 22)South Florida, U.S.,,,,
Juliet Marillier , (1948-07-27) 27 July 1948 (age 74)Dunedin, New Zealand,,,,,
Margaret Atwood ,Margaret Eleanor Atwood (1939-11-18) November 18, 1939 (age 83)Ottawa, Ontario, Canada,,,
Emily Giffin ,Emily Fisk Giffin (1972-03-20) March 20, 1972 (age 50)Baltimore, Maryland,,,,
Hope Jahren , (1969-09-27) September 27, 1969 (age 53)Austin, Minnesota, US,,,
Jen Calonita ,n,o,n,e,,,
J.J. McAvoy,n,o,n,e,,,
Rosamund Hodge ,n,o,n,e,,,
Peggy Kern,n,o,n,e,,,
Eugene Vodolazkin, (1964-02-21) 21 February 1964 (age 58)Kyiv, Ukrainian SSR, Soviet Union (now Ukraine),,,,
M.R. Carey ,n,o,n,e,,,
Stan Lee,Stanley Martin Lieber(1922-12-28)December 28, 1922New York City, U.S.,,,,
Laura Marshall,Laura Marshall,,,,,,
Charlie Fletcher ,1960 (age 61–62)United Kingdom,,,,,,
Kate Elliott ,n,o,n,e,,,
Aliette de Bodard , (1982-11-10) November 10, 1982 (age 40)New York City, US[1],,,,
Lindsay Smith ,n,o,n,e,,,
Leah Bobet ,n,o,n,e,,,
Mercedes Lackey, (1950-06-24) June 24, 1950 (age 72)[1]Chicago, Illinois, United States,,,
Robert Jackson Bennett ,Baton Rouge, Louisiana, U.S.,,,,
Daniel Abraham,n,o,n,e,,,
Django Wexler ,n,o,n,e,,,
Victor Milán,Victor Woodward Milán(1954-08-03)August 3, 1954Tulsa, Oklahoma, U.S.,,,
Kass Morgan , (1984-07-21) July 21, 1984 (age 38)New York City, U.S.,,,,
Katherine Rundell,1987 (age 34–35)Kent, England,,,,,
Amari Soul ,n,o,n,e,,,
Phillip Hoose,May 31, 1947South Bend, Indiana,,,,
Matt Killeen,n,o,n,e,,,
Aisha Saeed ,n,o,n,e,,,
Sally Slater ,n,o,n,e,,,
I.W. Gregorio ,n,o,n,e,,,
Wendy Mass , (1967-04-22) April 22, 1967 (age 55)Livingston, New Jersey, US,,,
Liz Braswell ,n,o,n,e,,,
Tessa Elwood ,n,o,n,e,,,
Elizabeth May ,Jonathan Pedneault,,,,,,
Sarah Addison Allen ,Asheville, North Carolina,,,,,
Kate Moore ,n,o,n,e,,,
Karen Cleveland ,n,o,n,e,,,
Toshikazu Kawaguchi,n,o,n,e,,,
Catherine Clark ,n,o,n,e,,,
Matthew Cody ,n,o,n,e,,,
Michael Farr,n,o,n,e,,,
Cora Reilly ,n,o,n,e,,,
Corinne Duyvis ,n,o,n,e,,,
Kim Harrison ,1966 (age 55–56)[1]Midwest,,,,,,
Chloe Neill , (1975-05-17) May 17, 1975 (age 47)United States,,,,,
Faith Hunter ,Faith Hunter, Gwen Hunter, Gary Hunter,,,,
Reki Kawahara, (1974-08-17) August 17, 1974 (age 48)[1][2]Takasaki, Gunma, Japan,,,
Lauren Oliver ,Laura Suzanne Schechter (1982-11-08) November 8, 1982 (age 40)Queens, New York City, U.S.,,,
Cherie Priest , (1975-07-30) July 30, 1975 (age 47)Florida, United States,,,,
Brit Bennett ,1989/1990 (age 32–33)Oceanside, California,,,,,
Claire North, (1986-04-27) 27 April 1986 (age 36)United Kingdom,,,,,,
Joel N. Ross,n,o,n,e,,,
Anne Rice,Howard Allen Frances O'Brien(1941-10-04)October 4, 1941New Orleans, Louisiana, U.S.,,,
Wayne Koestenbaum,n,o,n,e,,,
Kelly Yang ,University of California, BerkeleyHarvard Law School ,,,,,
Ali Novak ,n,o,n,e,,,
Reni Eddo-Lodge, (1989-09-25) 25 September 1989 (age 33)London, England,,,,,
Carrie Fisher,Carrie Frances Fisher(1956-10-21)October 21, 1956Burbank, California, U.S.,,,
Kylie Scott ,n,o,n,e,,,
Bern Bolo ,n,o,n,e,,,
Sara Pennypacker,n,o,n,e,,,
Tom King ,n,o,n,e,,,
Jonathan Auxier , (1981-08-10) August 10, 1981 (age 41)[1][2]Vancouver, British Columbia,,,,
Sarah Howden,n,o,n,e,,,
Libba Bray ,Martha Elizabeth Bray (1964-03-11) March 11, 1964 (age 58)Montgomery, Alabama, U.S.,,,
Caitlin Doughty, (1984-08-19) August 19, 1984 (age 38)Oʻahu, Hawaii, U.S.,,,
Paul C. Nelson,n,o,n,e,,,
Jeff Zentner ,n,o,n,e,,,
Tana French , (1973-05-10) May 10, 1973 (age 49)Burlington, Vermont, United States,,,
Allison Pataki , (1984-11-25) November 25, 1984 (age 38)New York, U.S.,,,,
Alanea Alder ,n,o,n,e,,,
Sophie Anderson ,n,o,n,e,,,
John Allison ,n,o,n,e,,,
Krysten Ritter , (1981-12-16) December 16, 1981 (age 41)Bloomsburg, Pennsylvania, U.S.,,,
Wendy Higgins ,Novelist,,,,,,
Dawn Kurtagich ,British,,,,,,
Devon Hughes,Devon Hughes,,,,,,
Kate DiCamillo ,Katrina Elizabeth DiCamillo (1964-03-25) March 25, 1964 (age 58)Philadelphia, Pennsylvania, U.S.,,,
Grace Lin ,"Grace ""Pacy"" LinMay 17", 1974New Hartford, New York,,,,
David Ebershoff ,January 17, 1969 (1969-01-17) (age 53)Pasadena, California,,,,
Samantha Young ,n,o,n,e,,,
Maggie O'Farrell , (1972-05-27) 27 May 1972 (age 50)Coleraine, Northern Ireland,,,,,
E. Lockhart ,September 13, 1967[1] (age 54)New York City, New York[2],,,,
Patricia Gibney,n,o,n,e,,,
Felicia Day ,Kathryn Felicia Day (1979-06-28) June 28, 1979 (age 43)Huntsville, Alabama, U.S.,,,
Khaled Hosseini ,خالد حسینی,,,,,,
Robert Kirkman, (1978-11-30) November 30, 1978 (age 44)Lexington, Kentucky, U.S.,,,
Aurora Rose Reynolds ,n,o,n,e,,,
Kabi Nagata,May 28, 1987,,,,,
Melinda Salisbury,n,o,n,e,,,
Chriselda Barretto ,n,o,n,e,,,
Edgar Cantero , (1981-05-27) May 27, 1981 (age 41)Barcelona,,,,,
Jessica Verdi ,n,o,n,e,,,
Michael Punke,Barack Obama,,,,,,
Gill Paul ,n,o,n,e,,,
Patricia Briggs,1965 (age 56–57)Butte, Montana, United States,,,,
Jen Turano ,n,o,n,e,,,
Lynda Mullaly Hunt ,n,o,n,e,,,
Karen Kingston ,n,o,n,e,,,
R.C. Sproul,Robert Charles Sproul(1939-02-13)February 13, 1939Pittsburgh, Pennsylvania, U.S.[1][2],,,
David Neilsen ,n,o,n,e,,,
Johanna Lindsey,Johanna Helen Howard(1952-03-10)March 10, 1952Frankfurt, West Germany,,,,
Tillie Cole ,n,o,n,e,,,
Sharon Cameron ,Sonny Gallant (interim),,,,,,
Deanna Raybourn , (1968-06-17) June 17, 1968 (age 54)Fort Worth,,,,,
William H. Armstrong,n,o,n,e,,,
Erin Hunter,n,o,n,e,,,
Tracy Rees,n,o,n,e,,,
Kirstin Cronn-Mills,n,o,n,e,,,
Christopher Scotton ,n,o,n,e,,,
Gordon Korman, (1963-10-23) October 23, 1963 (age 59)Montreal, Quebec, Canada,,,
Gloria Steinem,Gloria Marie Steinem[1] (1934-03-25) March 25, 1934 (age 88)Toledo, Ohio, U.S.,,,
Esther Hautzig,n,o,n,e,,,
Patrick Radden Keefe,1976 (1976),,,,,,
Samuel Beckett,Samuel Barclay Beckett(1906-04-13)13 April 1906Foxrock, Dublin, Ireland,,,,
Ilsa Madden-Mills ,n,o,n,e,,,
Lisa Kleypas ,Lisa Annette Kleypas[1] (1964-11-05) 5 November 1964 (age 58)Temple, Texas, United States,,,,
Alan Bradley ,n,o,n,e,,,
Chuck Grossart ,n,o,n,e,,,
Roan Parrish ,n,o,n,e,,,
Avi,n,o,n,e,,,
Richard Fifield ,n,o,n,e,,,
Helena Newbury ,n,o,n,e,,,
Irvin D. Yalom,Irvin David Yalom (1931-06-13) June 13, 1931 (age 91)Washington, D.C.,,,,
Jacqueline Wilson,Jacqueline Aitken (1945-12-17) 17 December 1945 (age 77)Bath, Somerset, England,,,,
Emma Chase ,n,o,n,e,,,
Mhairi McFarlane ,n,o,n,e,,,
Michael Bialys ,n,o,n,e,,,
M,Latin script,,,,,,
Arnold Henry ,n,o,n,e,,,
K. Bromberg ,n,o,n,e,,,
Lora Leigh, (1965-03-06) March 6, 1965 (age 57)Ohio, US,,,,
Kelley Armstrong ,Kelley L. Armstrong (1968-12-14) 14 December 1968 (age 54)Sudbury, Ontario, Canada,,,,
Sally Hepworth ,1980 (age 41–42),,,,,,
E.L. Ervin ,n,o,n,e,,,
Sapan Saxena ,Motilal Nehru National Institute of Technology Allahabad,,,,,,
Steven Cross ,n,o,n,e,,,
David Hartness ,n,o,n,e,,,
Jared Brock ,n,o,n,e,,,
Kelly St. Clare ,n,o,n,e,,,
Alcatraz Dey ,n,o,n,e,,,
Saira Viola ,n,o,n,e,,,
Julie Morgan ,Mark Drakeford,,,,,,
Dannielle Wicks ,n,o,n,e,,,
Miranda Sings,n,o,n,e,,,
David Beaupre ,n,o,n,e,,,
Jasmine Lee ,n,o,n,e,,,
Carole Devine ,n,o,n,e,,,
M.A. Phipps ,n,o,n,e,,,
Nicholas Ponticello ,n,o,n,e,,,
William Nicholson,n,o,n,e,,,
Carole Matthews,n,o,n,e,,,
Isabel Curtis ,n,o,n,e,,,
Martine Bailey ,n,o,n,e,,,
Kristen Simmons ,n,o,n,e,,,
Alaric Longward ,n,o,n,e,,,
J. Dylan Yates ,n,o,n,e,,,
J.L. Drake ,n,o,n,e,,,
Donald Jans ,n,o,n,e,,,
L.V. George ,n,o,n,e,,,
J.J. Sherwood ,n,o,n,e,,,
Himanshu Arora ,n,o,n,e,,,
Leah Rooper ,n,o,n,e,,,
C.S. Oliver ,n,o,n,e,,,
Maggie Georgiana Young ,n,o,n,e,,,
Steve Jackson ,n,o,n,e,,,
Torrie Robles ,n,o,n,e,,,
Sylvain Reynard ,Sylvain Reynard,,,,,,
Philip Allen Green ,n,o,n,e,,,
Emmanuel M. Arriaga ,n,o,n,e,,,
Casi McLean ,n,o,n,e,,,
Natalie Decker ,Natalie Marie Decker[1] (1997-06-25) June 25, 1997 (age 25)Eagle River, Wisconsin, U.S.,,,
N.L. Shompole ,n,o,n,e,,,
Michelle R. Eastman ,n,o,n,e,,,
Angela C. Castillo ,n,o,n,e,,,
John Plaski ,n,o,n,e,,,
Louis Sachar , (1954-03-20) March 20, 1954 (age 68)East Meadow, New York, U.S.,,,
Tara Sue Me ,n,o,n,e,,,
Jennifer McKeithen ,n,o,n,e,,,
Brittany Burgunder ,n,o,n,e,,,
Zoe Mason King ,n,o,n,e,,,
Patrick Winsor ,n,o,n,e,,,
Noah Harris ,n,o,n,e,,,
Vlad Zachary ,n,o,n,e,,,
M.R. Vallone ,n,o,n,e,,,
Frank Scozzari ,n,o,n,e,,,
Natalya Orekhov ,n,o,n,e,,,
Charlie Donlea ,n,o,n,e,,,
Zoë S. Roy ,n,o,n,e,,,
Vineet Aggarwal ,n,o,n,e,,,
J. Ryan Stradal ,n,o,n,e,,,
M.S. Parker ,n,o,n,e,,,
Vasily Mahanenko ,n,o,n,e,,,
E.J. Mellow ,n,o,n,e,,,
Renita D'Silva ,n,o,n,e,,,
Rene S. Perez II,n,o,n,e,,,
Aleatha Romig ,n,o,n,e,,,
Ahmed Masoud,"
Ahmed Masoud Abdel Wahab Mohamed",,,,,,
César L. Baquerizo ,n,o,n,e,,,
Laurelin Paige ,n,o,n,e,,,
Lori Robinson ,1958/1959 (age 63–64)[1]Big Spring, Texas,,,,,
Holly Sparks ,n,o,n,e,,,
Steven Camden ,n,o,n,e,,,
Funky Chicken ,n,o,n,e,,,
Shinry ,n,o,n,e,,,
Gabriel Packard,n,o,n,e,,,
Bob Howard ,n,o,n,e,,,
Avery Aames ,n,o,n,e,,,
Becky Wallace ,n,o,n,e,,,
Kait Fennell,n,o,n,e,,,
Susan Ee ,Susan Ee,,,,,,
Ted Dekker , (1962-10-24) October 24, 1962 (age 60)[1]Kanggime, Yahukimo Regency, Netherlands New Guinea,,,
Britt Holewinski ,n,o,n,e,,,
Ann Curtin ,n,o,n,e,,,
Ram Sivasankaran ,n,o,n,e,,,
Tyffani Clark Kemp ,n,o,n,e,,,
Kiran Millwood Hargrave ,n,o,n,e,,,
Meyer Levin,n,o,n,e,,,
Petronela Ungureanu ,n,o,n,e,,,
Leslie Wolfe ,1967 (age 54–55)United States,,,,,,
Guy de Maupassant,Henri René Albert Guy de Maupassant(1850-08-05)5 August 1850Tourville-sur-Arques, France,,,,,
Shawn Johnson,America's Sweetheart[1],,,,,,
Veronika Gasparyan ,n,o,n,e,,,
Teresa Michaels ,n,o,n,e,,,
Alexander Boldizar ,n,o,n,e,,,
C.M. McCoy ,n,o,n,e,,,
Jeff Minerd ,n,o,n,e,,,
Alessandro Boccaletti ,n,o,n,e,,,
Shawn Raymond Poalillo ,n,o,n,e,,,
A.J.J. Bourque,n,o,n,e,,,
Traci Chee ,California,,,,,,
Zhixiong Zhang,n,o,n,e,,,
Rebecca McNutt ,n,o,n,e,,,
Ross Welford,Cullercoats, England,,,,,
Gregg Dunnett ,n,o,n,e,,,
S. Ferguson ,n,o,n,e,,,
Ashley Capes ,n,o,n,e,,,
Niall Breslin,Niall Breslin,,,,,,
Anna Jakobsson Lund ,n,o,n,e,,,
Maggie Way ,n,o,n,e,,,
Natalia Schellhaas ,n,o,n,e,,,
Louise Blackwick ,n,o,n,e,,,
Anne Garréta,n,o,n,e,,,
Terry Madden ,n,o,n,e,,,
Raymond L. Poole,n,o,n,e,,,
Adam Aust ,n,o,n,e,,,
Ryan Schow,n,o,n,e,,,
Shaune Bordere ,n,o,n,e,,,
Mie Hansson ,n,o,n,e,,,
Lila Bowen , (1977-10-21) 21 October 1977 (age 45) [1]Roswell, Georgia, United States,,,,
Hana Hindráková ,n,o,n,e,,,
Jennifer Jaynes,n,o,n,e,,,
Joshua Lie,n,o,n,e,,,
Gail Carriger , (1976-05-04) May 4, 1976 (age 46)Bolinas, California,,,,
Avon Gale ,n,o,n,e,,,
Joy Preble ,n,o,n,e,,,
ToAden ,n,o,n,e,,,
J.D. Estrada ,n,o,n,e,,,
H.S. Crow ,n,o,n,e,,,
Nicole Lyons ,n,o,n,e,,,
Sara Ella ,n,o,n,e,,,
Katie Hess ,n,o,n,e,,,
Zoe Sugg, (1990-03-28) 28 March 1990 (age 32)Lacock, England,,,,,
John Xeno ,n,o,n,e,,,
Ronie Kendig ,n,o,n,e,,,
Michael Eging ,n,o,n,e,,,
Helen Harper ,n,o,n,e,,,
Traci Hunter Abramson ,Arizona,,,,,,
Kermit Roosevelt III , (1971-07-14) July 14, 1971 (age 51)Washington, D.C., U.S.,,,
Rachna Khemchandani ,n,o,n,e,,,
Charlamagne Tha God,Lenard Larry McKelvey (1978-06-29) June 29, 1978 (age 44)Charleston, South Carolina, U.S.,,,
Ben Aaronovitch ,Ben Dylan Aaronovitch (1964-02-22) 22 February 1964 (age 58)Camden, London, England,,,,
A.M. Rose ,n,o,n,e,,,
Marguerite Bennett ,1988Virginia,,,,,,
Lynda Renham ,n,o,n,e,,,
Mamoona Arshad ,n,o,n,e,,,
Atticus Poetry ,n,o,n,e,,,
Victor Cornwall,n,o,n,e,,,
Tarun Betala ,n,o,n,e,,,
Christine Clayfield ,n,o,n,e,,,
Tony Bartelme ,Minneapolis, Minnesota, United States,,,,
Anna Applegate ,n,o,n,e,,,
Lee Winter ,n,o,n,e,,,
Malorie Blackman ,Clapham, London, England,,,,
V. Guyer ,n,o,n,e,,,
Jessica Pennington ,n,o,n,e,,,
Javier Marías,Javier Marías Franco(1951-09-20)20 September 1951Madrid, Spain,,,,,
Josh Malerman ,American,,,,,,
Melanie Finn ,n,o,n,e,,,
Peter Wisan ,n,o,n,e,,,
Tessa Fontaine ,n,o,n,e,,,
C.B. Lee ,n,o,n,e,,,
Ian C.P. Irvine ,n,o,n,e,,,
Eden Summers ,n,o,n,e,,,
Karen Fortunati ,n,o,n,e,,,
Gina A. Jones ,n,o,n,e,,,
Nathan Smith Jones ,n,o,n,e,,,
James Vella-Bardon ,n,o,n,e,,,
Sophie Hardcastle ,n,o,n,e,,,
John R. Gregg ,Bryan Blanchard,,,,,,
Rachel Walkley ,n,o,n,e,,,
Donald Stratton,(1922-07-14)July 14, 1922Red Cloud, Nebraska, U.S.,,,
Roopa Pai,RoopaBangalore, India,,,,,
Kristin Coley ,n,o,n,e,,,
Mishell Baker,1976,,,,,,
Dodie Clark,Dorothy Miranda Clark (1995-04-11) 11 April 1995 (age 27)Enfield, London, England,,,,
Spencer Hoshino ,n,o,n,e,,,
Ken Bruen,1951Galway, Ireland,,,,,
Baj Goodson ,n,o,n,e,,,
Rachelle Delaney ,n,o,n,e,,,
Robert New ,n,o,n,e,,,
Alexis Marie Chute ,n,o,n,e,,,
Jon Skovron ,n,o,n,e,,,
Amy Liptrot ,n,o,n,e,,,
Emma Hamm ,n,o,n,e,,,
Peter Bognanni ,n,o,n,e,,,
Kevin A. Kuhn ,n,o,n,e,,,
Kristi Carlson ,n,o,n,e,,,
Derek Milman ,Derek Andrew Milman (1979-03-21) March 21, 1979 (age 43)New York City, U.S.,,,,
S.J. Hartland ,n,o,n,e,,,
Parth Detroja ,n,o,n,e,,,
Gloria Chao ,n,o,n,e,,,
Owen Mullen ,n,o,n,e,,,
Tom Ellen,n,o,n,e,,,
K.Hari Kumar ,n,o,n,e,,,
Gavin Extence,1982 (age 39–40)Swineshead, Lincolnshire,,,,,
Lucy Tempest ,n,o,n,e,,,
Francis Shenstone ,n,o,n,e,,,
Beth Duke ,n,o,n,e,,,
Jared Rund ,n,o,n,e,,,
Joanne Bischof ,n,o,n,e,,,
Camilla Monk ,n,o,n,e,,,
Suzanne Young ,n,o,n,e,,,
Emma Nichols ,n,o,n,e,,,
Micah Dean Hicks ,n,o,n,e,,,
Faraaz Kazi ,n,o,n,e,,,
Ella Summers ,n,o,n,e,,,
Brant Hansen, (1969-10-11) October 11, 1969 (age 53)Assumption, Illinois,,,,
Chris Howard ,n,o,n,e,,,
Bryon MacWilliams ,n,o,n,e,,,
Norman Bacal ,n,o,n,e,,,
Brian Evenson, (1966-08-12) August 12, 1966 (age 56)Ames, Iowa, U.S.,,,
Honor Raconteur ,n,o,n,e,,,
Bassey Ikpi , (1976-08-03) 3 August 1976 (age 46)Ikom, Cross River State, Nigeria,,,,
Joy McCullough ,n,o,n,e,,,
Katrina Cope ,n,o,n,e,,,
Marisa Noelle ,n,o,n,e,,,
Vandana Singh-Lal,n,o,n,e,,,
Amna Dhanani ,n,o,n,e,,,
Oscar de Muriel,n,o,n,e,,,
Angela Saini,1980 (age 41–42)London, England, U.K.,,,,
Evan Winter ,England,,,,,,
Cassidy K. O'Connor ,n,o,n,e,,,
Jackie Wang,New College of Florida (B.A., 2010)Harvard University (M.A., 2018; Ph.D., 2020),,,
Megan Allen ,n,o,n,e,,,
Nicole Baart ,n,o,n,e,,,
Douglas A. Martin ,n,o,n,e,,,
David Walliams,David Edward Williams (1971-08-20) 20 August 1971 (age 51)Wimbledon, London, England,,,,
Kat Kinney ,n,o,n,e,,,
Astrid Scholte ,n,o,n,e,,,
Trent Dalton,April 23, 1979Ipswich, South-east Queensland, Australia,,,
Nathaniel Connors ,n,o,n,e,,,
Neil Patrick Harris, (1973-06-15) June 15, 1973 (age 49)Albuquerque, New Mexico, U.S.,,,
Sofía Segovia ,n,o,n,e,,,
Savannah Brown ,c. 1996Cleveland, Ohio,,,,,
Christine Riccio ,n,o,n,e,,,
Yōko Ogawa, (1962-03-30) March 30, 1962 (age 60)Okayama, Okayama Prefecture, Japan,,,
Ling Ma ,Sanming, Fujian, China,,,,
Sonya Renee Taylor,American,,,,,,
AbJimenez ,n,o,n,e,,,
Charlie Adhara ,n,o,n,e,,,
Tim DeRoche ,n,o,n,e,,,
Rebecca F. Kenney ,n,o,n,e,,,
Lucy Strange,n,o,n,e,,,
Kieran Larwood ,n,o,n,e,,,
Amanda Barratt ,n,o,n,e,,,
Clare Pooley ,n,o,n,e,,,
Lucia Berlin,Lucia Brown(1936-11-12)November 12, 1936Juneau, Alaska, U.S.,,,
Ellie Terry ,n,o,n,e,,,
Daniel Flynn,n,o,n,e,,,
Clarissa Kae ,n,o,n,e,,,
Tessa Bailey ,n,o,n,e,,,
James Mustich ,n,o,n,e,,,
Sam J. Miller ,Sam Joshua Miller[1] (1979-02-07) February 7, 1979 (age 43)[2],,,,,
Ciara Smyth ,n,o,n,e,,,
Kit Frick ,n,o,n,e,,,
Saeed Jones , (1985-11-26) November 26, 1985 (age 37)Memphis, Tennessee, U.S.,,,
Richard Paul Evans, (1962-10-11) October 11, 1962 (age 60)Salt Lake City, Utah,,,,
Samantha Towle ,n,o,n,e,,,
James Ponti ,n,o,n,e,,,
Courtney C. Stevens ,n,o,n,e,,,
Hafsah Faizal ,1993 (age 28–29)Florida, U.S.,,,,,
Madeleine Roux ,Minnesota, U.S.,,,,,
John Lewis Gaddis,1941 (age 80–81)Cotulla, Texas, U.S.,,,,
Deb Caletti ,Debora Lynn Caletti (1963-06-16) June 16, 1963 (age 59)San Rafael, California,,,,
Kathryn Moon ,n,o,n,e,,,
Jenny Colgan, (1972-09-14) 14 September 1972 (age 50)Prestwick, Ayrshire, Scotland,,,,
Christopher Lloyd ,Christopher Allen Lloyd (1938-10-22) October 22, 1938 (age 84)Stamford, Connecticut, U.S.,,,
Candace Ganger ,n,o,n,e,,,
Stuart Russell,n,o,n,e,,,
T.L. Swan ,n,o,n,e,,,
Stjepan Šejić, (1981-11-27) November 27, 1981 (age 41)Vinkovci, SR Croatia, SFR Yugoslavia,,,
Lucy Powrie ,n,o,n,e,,,
Tiffany D. Jackson ,Brooklyn, New York,,,,,
Jeff Kinney ,Jeffrey Patrick Kinney (1971-02-19) February 19, 1971 (age 51)Fort Washington, Maryland, U.S.,,,
Janice Galloway, (1955-12-02) 2 December 1955 (age 67)Saltcoats, Ayrshire, Scotland,,,,
Kathleen Tessaro , (1965-06-01) June 1, 1965 (age 57)Pittsburgh, Pa.,,,,
Christine Feehan ,Christine KingUkiah, California, U.S.,,,,
Celia Kyle ,n,o,n,e,,,
Austin Aslan ,n,o,n,e,,,
Jillian David ,n,o,n,e,,,
K.R. Thompson,n,o,n,e,,,
Dolyn Keys ,n,o,n,e,,,
John J. Davis,n,o,n,e,,,
Hope Ramsay ,n,o,n,e,,,
Bradley Nickell,n,o,n,e,,,
Pythia Peay ,n,o,n,e,,,
Lori Roy ,n,o,n,e,,,
Guy Lozier ,n,o,n,e,,,
Erin Bow ,Erin NoteboomApril 1, 1972 (1972-04) (age 50)Des Moines, Iowa, USA,,,
Bruce Lee Bond ,n,o,n,e,,,
Lexy Timms,n,o,n,e,,,
Kelly Moore , (1959-01-31) January 31, 1959 (age 63)Scarborough, Maine,,,,
Dori Ann Dupré ,n,o,n,e,,,
Liliya Akhmadeeva ,n,o,n,e,,,
Elizabeth Brundage,n,o,n,e,,,
Faith Erin Hicks ,British Columbia,,,,,,
Laurel McHargue ,n,o,n,e,,,
Mel Bossa ,n,o,n,e,,,
Shannen Crane Camp ,n,o,n,e,,,
Lauren Layne,n,o,n,e,,,
Chase Potter ,n,o,n,e,,,
Jeffrey L. Kohanek ,n,o,n,e,,,
Amanda Panitch ,n,o,n,e,,,
Jeff Lemire, (1976-03-21) March 21, 1976 (age 46)Essex County, Ontario, Canada,,,
MarcyKate Connolly ,n,o,n,e,,,
Amber Bird ,n,o,n,e,,,
Valynne E. Maetani ,n,o,n,e,,,
Lance Rubin ,n,o,n,e,,,
Brynn Stein ,n,o,n,e,,,
William R. Forstchen,October 11, 1950 (1950-10-11) (age 72)Millburn, New Jersey,,,,
Julie McElwain,n,o,n,e,,,
Brandon Thomas DiSabatino ,n,o,n,e,,,
Tanya Huff,1957 (age 64–65)Halifax, Nova Scotia,,,,,
Jess Ryder,n,o,n,e,,,
Nathan Hale ,June 6, 1755Coventry, Connecticut Colony, British America,,,
Annette Marie ,n,o,n,e,,,
Emily Skrutskie ,n,o,n,e,,,
Elizabeth St. Michel ,n,o,n,e,,,
Monica Murphy ,n,o,n,e,,,
Jenni Ogden ,Jennifer Ann Ogden,,,,,,
Hazel B. West ,n,o,n,e,,,
Arnold Ytreeide,n,o,n,e,,,
Kate Bolick,n,o,n,e,,,
S.F. Mazhar ,n,o,n,e,,,
Peter F. Hamilton ,Rutland, England,,,,,
Steven P Sharp,n,o,n,e,,,
Ramcy Diek ,n,o,n,e,,,
Christina Lynch ,n,o,n,e,,,
Sarah Dunant, (1950-08-08) 8 August 1950 (age 72)[1][2]London, England,,,,,
Mary Kay Andrews,n,o,n,e,,,
Eric Metaxas , (1963-06-27) June 27, 1963 (age 59)New York City, U.S.,,,,
Henrik Ibsen,Henrik Johan Ibsen(1828-03-20)20 March 1828Skien, Telemark, Norway,,,,
Jodi Ellen Malpas ,n,o,n,e,,,
J. Moon ,n,o,n,e,,,
Jennifer LeBlanc ,n,o,n,e,,,
Wendy M. Wilson ,n,o,n,e,,,
Mary H.K. Choi,Seoul, South Korea,,,,,
Anna Snoekstra ,n,o,n,e,,,
Maggie Fenton ,n,o,n,e,,,
David Anderson ,n,o,n,e,,,
Caroline Webb ,Caroline Michelle Christine WebbNew Milton, Hampshire, England, United Kingdom,,,
Ethan Arkwright ,n,o,n,e,,,
Gareth L. Powell ,Gareth L. Powell,,,,,,
Susan Wingate ,n,o,n,e,,,
Heleen Kist ,n,o,n,e,,,
Gabriel Tallent ,n,o,n,e,,,
Peter Swanson , (1968-05-26) May 26, 1968 (age 54)Concord, Massachusetts,,,,
Bus-Stop Guides ,n,o,n,e,,,
Preston Norton ,n,o,n,e,,,
Annabel Pitcher,n,o,n,e,,,
Sarah Matthias ,n,o,n,e,,,
Wendy Brant ,n,o,n,e,,,
Nicky Drayden ,n,o,n,e,,,
Jhumpa Lahiri,Nilanjana Sudeshna Lahiri (1967-07-11) July 11, 1967 (age 55)London, England,,,,
Boris Sanders ,n,o,n,e,,,
Limmy,Brian Limond (1974-10-20) 20 October 1974 (age 48)Glasgow, Scotland,,,,,
David E. Hoffman ,n,o,n,e,,,
Dan Flores,Dan Louie Flores (1948-10-19) October 19, 1948 (age 74)Vivian, Caddo Parish Louisiana, United States,,,
Dana Mele ,n,o,n,e,,,
Melinda Gates ,Melinda Ann French (1964-08-15) August 15, 1964 (age 58)Dallas, Texas, U.S.,,,
Rachel Hauck ,n,o,n,e,,,
Michael Pollan ,Michael Kevin Pollan (1955-02-06) February 6, 1955 (age 67)Long Island, New York, U.S.,,,
Lisa Brennan-Jobs ,Lisa Nicole Brennan (1978-05-17) May 17, 1978 (age 44)Portland, Oregon, U.S.,,,
Mary Beth Keane ,July 3, 1979Bronx, New York,,,,
Isuna Hasekura, (1982-12-27) December 27, 1982 (age 39)Chiba Prefecture, Japan,,,,
Crystal Smith ,n,o,n,e,,,
Meagan Spooner ,Author,,,,,,
Monica Hesse ,Journalist, novelist,,,,,
Ian Morgan Cron ,n,o,n,e,,,
