,0
Tillie Walden,1996 (age 25–26)
Ashley Stoyanoff ,none
Iain Reid , Canada[1]
Kate James ,none
Vincent L. Scarsella ,none
Fletcher DeLancey ,none
Nina Willner , 1961 (age 61)
Giovanna Fletcher , England
Cindy Brandner ,none
Alain de Botton , Switzerland
Charlie Mackesy, United Kingdom
Kiley Reid, U.S.
Jennifer Lynn Barnes , Oklahoma
Sara Gruen , Canada
Matthew Syed, England
Jessica Brody ,Smith College
Lylah James ,none
Andrew Norriss,none
Kate Stewart , UK
Sara Bareilles, U.S.
Holly Bourne ,6 May
Vi Keeland ,English
E.O. Odiase ,none
J.T. LeRoy,none
Bernhard Hennen, Germany[1]
Brené Brown , U.S.
Chris-Jean Clarke ,none
Alice Hoffman , United States
Danielle Esplin ,none
Lauren James ,"
 (2001-09-29) 29 September 2001 (age 21)"
Kade Cook ,none
Cassandra Fear ,none
William Gibson, U.S.
Frances Hardinge, England
Ali Land,none
Nujeen Mustafa, Syria
Jennifer Anne Davis ,none
Jill Santopolo ,none
Marjorie M. Liu , U.S.
Ryan Holiday , U.S.
Lyndsay Faye ,Author
Malcolm Gladwell, UK
Lyssa Kay Adams ,none
J. Cafesin ,none
Walter Dean Myers, U.S.
Katy Evans , 1976 (age 46)
William MacAskill , Scotland
Beth Revis , US
Elena Favilli , Italy
Emiko Jean ,none
Viral Dalal ,none
Olga Tokarczuk, Poland
Mariko Tamaki, Canada
Jennifer A. Nielsen , 1971 (age 51)Northern Utah
Adib Khorram ,none
Victoria Lee , United States
Richard Bradford,none
Kaitlin Bevis ,none
Kresley Cole ,Novelist
Adam Steven Page ,none
Miranda July , U.S.
C.J. Redwine ,none
Will Wight , USA
Wendy Spinale ,none
Ann Leckie , Ohio[2]
Jennifer Latham ,none
Sharlyn G. Branson ,none
Dalai Lama XIV,22 February 1940 – present
Peter V. Brett , New York
C.G. Drews ,none
Max Porter,none
Walter Isaacson ,James K. Glassman
Shashi Tharoor,Anurag Thakur
Bernardine Evaristo, England
Haemin Sunim,Buddhist TeacherWriter
Helen Oyeyemi , Nigeria
Cath Crowley ,none
Lisa McMann , Michigan
Maylis de Kerangal, France
Alexei Maxim Russell , Manitoba
James Rollins , U.S.[1]
Lauren Blakely ,none
Alyssa B. Sheinmel ,none
Lilly Singh, Canada
Robert M. Sapolsky, U.S.
Sarah Beth Durst , U.S.
Jocko Willink , Jr.
Robert Beatty , Canada
Gita Trelease ,none
Rebecca Schaeffer , U.S.
Makoto Shinkai, Japan
Kiran Bhat ,none
Arabella Weir, U.S.
Keri Lake , U.S.
A.S. King , US
Leonard Seet ,none
Jason Reynolds, U.S.
Paul Tremblay , U.S.
Fatima Farheen Mirza , 1991 (age 31)California
Justina Ireland , United States of America
Natasha Ngan , Hertfordshire
Zora Neale Hurston, U.S.
Jamie McGuire ,"
Jamie Anthony McGuire[1]"
Karole Cozzo ,none
Greg Iles , West Germany
Devney Perry ,none
Elif Shafak ,Elif Şafak
Cara Alwill Leyba,none
Dean Atta ,none
Kurtis J. Wiebe ,Image Comics
J. Carson Rose ,none
J.Y. Yang ,1982 or 1983 (age 39–40)
Tricia Levenseller ,none
Simone St. James ,none
Bridget Collins ,none
Alex Light , Virginia
Scott Adams, U.S.
Lisa Genova , 1970 (age 52)
Katarina Bivald ,none
Gianni Perticaroli ,none
Sona Charaipotra , Master's in Dramatic Writing and South Asian Diaspora Studies
Salla Simukka, 1981 (age 41)Tampere
Lisa Lutz , US
Harlan Coben , U.S.
Michael Wolff,none
John Gwynne ,none
S.D. Smith ,none
Patricia Cornwell , U.S.
Sandie Jones ,Margaret Jones
Charles Patterson,none
Elliot Wake ,none
Jonathan Stroud , England
Shea Ernshaw ,none
Daniel Cole,none
Peter Brown,none
Holly Jackson , England
Kim Liggett ,none
Kami Garcia , 1972 (age 50)
Michael Grant ,none
Glennon Doyle , U.S.
Colleen Oakes ,none
Emmy Laybourne , New Jersey
Brent Weeks , USA
Emily Lloyd-Jones ,none
Anna Pitoniak ,none
Rosanne Parry ,none
Charlotte McConaghy ,none
Elena Dunkle,none
A.L. Jackson ,none
Keigo Higashino, Japan
Anna Burns, Northern Ireland
Chris Turnbull ,none
Gretchen McNeil ,"
Teen drama[1]
Thriller[2][3]
"
Lauren Groff , U.S.
Emily Henry ,none
Rachel Vincent ,West Indies
Jeff Garvin ,none
Young Kim ,Gil Cisneros
Felix O. Hartmann ,none
Cal Newport, 1982 (age 40)
David Levithan , United States
Cristin Terrill ,none
Rory Power ,none
Sarah Lyu ,none
Julia Durango,none
Erin Beaty ,none
Kelly Loy Gilbert ,none
Tracy Wolff,none
Sunil Khilnani,none
Rysa Walker , Florida
Jenn Marie Thorne ,none
Aimee Friedman , New York
Katerina Diamond ,none
Hawa L Crickmore,none
Sabrina Benaim, Canada
Fumio Sasaki,none
E.K. Blair ,none
Adrienne Maree Brown , US
Rachel Held Evans, U.S.
Matthew Quick , U.S.
Charles Cumming, Scotland
Lauren Child, England
Ashley Elston ,none
Layne Fargo ,none
T.R. Horne ,none
Patrick Gale,none
André Alexis, Trinidad and Tobago
Paolo Bacigalupi , Colorado
Sophie Jordan ,none
Peadar Ó Guilín ,Peadar Ó Guilín
Jennifer Egan , U.S.
Adam Gidwitz , CA
Virginia Boecker ,none
Chris Grabenstein , NY
Maggie Hall , Ireland
Affinity Konar ,none
Kamila Shamsie, Pakistan
Cara Delevingne, England
Laurie Forest ,none
Danielle L. Jensen ,Female
Mary Robinette Kowal , North Carolina
Maria V. Snyder , United States
Lisa M. Orban ,none
Marieke Nijkamp , the Netherlands[1]
Amanda Foody ,none
Violet LeVoit ,none
Justin A. Reynolds ,none
Jon Padgett ,none
Peter Wohlleben, West Germany
Harper Sloan ,none
Robert Harris ,none
Carian Cole ,none
Kristen Orlando ,none
John Corey Whaley, USA
Sue Lloyd-Roberts, England[1]
Lori Benton ,none
Megan Morrison ,none
Jazz Jennings, U.S.
Juliet Marillier , New Zealand
Margaret Atwood , Canada
Emily Giffin , Maryland
Hope Jahren , US
Jen Calonita ,none
J.J. McAvoy,none
Rosamund Hodge ,none
Peggy Kern,none
Eugene Vodolazkin, Soviet Union (now Ukraine)
M.R. Carey ,none
Stan Lee, U.S.
Laura Marshall,Laura Marshall
Charlie Fletcher ,1960 (age 61–62)United Kingdom
Kate Elliott ,none
Aliette de Bodard , US[1]
Lindsay Smith ,none
Leah Bobet ,none
Mercedes Lackey, United States
Robert Jackson Bennett , U.S.
Daniel Abraham,none
Django Wexler ,none
Victor Milán, U.S.
Kass Morgan , U.S.
Katherine Rundell, England
Amari Soul ,none
Phillip Hoose, Indiana
Matt Killeen,none
Aisha Saeed ,none
Sally Slater ,none
I.W. Gregorio ,none
Wendy Mass , US
Liz Braswell ,none
Tessa Elwood ,none
Elizabeth May ,Jonathan Pedneault
Sarah Addison Allen , North Carolina
Kate Moore ,none
Karen Cleveland ,none
Toshikazu Kawaguchi,none
Catherine Clark ,none
Matthew Cody ,none
Michael Farr,none
Cora Reilly ,none
Corinne Duyvis ,none
Kim Harrison ,1966 (age 55–56)[1]Midwest
Chloe Neill , 1975 (age 47)United States
Faith Hunter , Gary Hunter
Reki Kawahara, Japan
Lauren Oliver , U.S.
Cherie Priest , United States
Brit Bennett , California
Claire North, (1986-04-27) 27 April 1986 (age 36)United Kingdom
Joel N. Ross,none
Anne Rice, U.S.
Wayne Koestenbaum,none
Kelly Yang , BerkeleyHarvard Law School 
Ali Novak ,none
Reni Eddo-Lodge, England
Carrie Fisher, U.S.
Kylie Scott ,none
Bern Bolo ,none
Sara Pennypacker,none
Tom King ,none
Jonathan Auxier , British Columbia
Sarah Howden,none
Libba Bray , U.S.
Caitlin Doughty, U.S.
Paul C. Nelson,none
Jeff Zentner ,none
Tana French , United States
Allison Pataki , U.S.
Alanea Alder ,none
Sophie Anderson ,none
John Allison ,none
Krysten Ritter , U.S.
Wendy Higgins ,Novelist
Dawn Kurtagich ,British
Devon Hughes,Devon Hughes
Kate DiCamillo , U.S.
Grace Lin , New York
David Ebershoff , California
Samantha Young ,none
Maggie O'Farrell , Northern Ireland
E. Lockhart , New York[2]
Patricia Gibney,none
Felicia Day , U.S.
Khaled Hosseini ,خالد حسینی
Robert Kirkman, U.S.
Aurora Rose Reynolds ,none
Kabi Nagata, 1987
