,0
Jamal Lewis ,1979-08-26
Rusty Young ,none
Dennis E. Taylor ,none
Becky Chambers,1985-05-03
Rainbow Rowell ,1973-02-24
Jaye L. Knight ,none
Abbi Glines ,1977-04-16
Lauren Graham,1967-03-16
Michelle McNamara,1970-04-14
C.S. Johnson ,none
Kathleen Glasgow ,none
Mohsin Hamid,1971-07-23
Christina Lauren ,none
Don Winslow ,1953-10-31
Nathan Hill,none
Barbara Davis ,none
James Clear ,none
Pittacus Lore,none
Sarah Pinborough ,none
Zadie Smith,1975-10-25
S.A. Chakraborty ,none
Carrie Hope Fletcher,1992-10-22
Seth Dickinson ,none
Nina George ,1973-08-30
Jessica Townsend ,1985-04-18
C.L. Hunter ,none
Lisa Maxwell ,none
John Carreyrou,none
Cherlina Works ,none
Chevy Stevens ,none
Erin A. Craig ,none
Elizabeth Acevedo ,none
James Dashner ,1972-11-26
Katharine McGee ,none
Claire McGowan,none
Anne Bishop,none
Elsa Blomster,none
Ashley Poston ,none
Zoje Stage ,none
J.D. Barker ,none
Jenn Bennett ,none
Jen Wang ,1984-03-22
Curtis Sittenfeld ,1975-08-23
Ray Dalio ,1949-08-08
Elly Blake ,none
Sarina Bowen ,none
Karl Wiggins ,none
Kerry Lonsdale ,none
Cathy Octo ,none
John Boyne,1971-04-30
Gary B. Shelly,none
Emery Lord ,none
Steve Silberman,none
Jennifer Mathieu ,none
Christopher Greyson ,none
Helen Hoang ,none
Maddie Dawson ,none
Andrew Sean Greer,1970-11-21
Sara Barnard ,none
Ottessa Moshfegh,1981-05-20
David Arnold ,1962-01-23
I.T. Lucas ,none
Abraham Lopez ,none
Katrin Schumann ,none
Dean Koontz ,1945-07-09
Elin Hilderbrand ,none
Louise Gornall ,none
Matthew Farrell ,none
J.D. Tyler ,none
Hillary Rodham Clinton,1947-10-26
Laura Sebastian ,none
Fiona Barton ,none
Noah Hawley ,none
Danielle Paige ,none
Connie Glynn,1994-03-16
Amy Tintera ,none
Robin Roe ,none
Amber Lee,none
Jesmyn Ward ,1977-04-01
Ken Liu ,none
Jeaniene Frost ,1974-06-13
Beth O'Leary ,none
Mel Ryle ,none
Stephenie Meyer,1973-12-24
Melanie Dickerson ,none
T.M. Frazier ,none
Claire Monette ,none
Matthew Desmond ,none
Erik Larson ,none
Michelle Falkoff ,none
Meredith Russo ,none
Tarryn Fisher ,none
Kate Atkinson,none
Julie Kagawa ,1982-10-12
Renée Knight,none
Hank Green ,1980-05-05
Douglas E. Richards ,none
Kate Summerscale,none
Elena Ferrante,none
Orson Scott Card,1951-08-24
Sean Gordon Murphy ,none
Hyeonseo Lee ,1980-01
Aly Martinez ,none
Jonathan Macpherson ,none
H.L. Roberts ,none
Joel T. McGrath,none
Cliff Lerner ,none
Simon W. Clark ,none
Lisa Terry ,none
Eliezer Yudkowsky ,1979-09-11
Elle Kennedy ,none
Charlie J. Eskew ,none
Mark Edwards ,none
Grace Draven ,none
Amish Tripathi ,1974-10-18
Zaman Ali ,none
Nicholas Eames ,none
Claire Legrand ,none
K.J. Kruk ,none
Ali Shaw ,none
Elise Kova ,none
Sarah Rees Brennan ,none
Heather O'Neill ,none
