,0
Sherrilyn Kenyon ,1965-12-11
Danielle Simmons,none
Ashlee Vance ,none
Katherine Applegate,1956-10-09
Miquel Reina ,none
Mindy Kaling ,1979-06-24
Christian Warren Freed ,none
Aporva Kala ,none
Sylvia Plath,1932-10-27
Hugh Howey ,1975-06-23
Camilla Isley ,none
Soman Chainani ,none
Jordan B. Peterson,1962-06-12
Maria V. Snyder ,1973-04-15
Lisa Wingate ,none
Lee Matthew Goldberg ,none
K.A. Tucker ,none
Sally Green ,none
Jessica Park ,2001-10-21
Danielle DeVor ,none
Othen Donald Dale Cummings ,none
Grahame Shannon ,none
Paula McLain ,none
Kasie West ,none
Anne Michaud ,none
Ilona Andrews ,none
Denis Johnson,1949-07-01
Richard K. Morgan,1965-09-24
Kerri Maniscalco ,none
Ian McEwan,1948-06-21
G.D. Falksen ,none
Larry Niven,1938-04-30
J.G. Ballard,1930-11-15
Roy Huff ,none
Robert Kirkman,1978-11-30
Mark T. Sullivan ,none
Emem Uko ,none
Caroline Kepnes ,1976-11-10
Alice Hoffman ,1952-03-16
Jennifer Donnelly ,1963-08-16
Amish Tripathi ,1974-10-18
Mandy Stadtmiller ,1975-10-24
Sue Monk Kidd ,1948-08-12
Maureen Johnson ,1973-02-16
Anna Banks ,none
Sarah Dessen ,1970-06-06
Kristen Ashley ,1968-04-08
Cinda Williams Chima ,none
Anthony Marra ,none
Charles Duhigg ,none
Kresley Cole ,none
Kelly Braffet ,1977-02-21
Cora Carmack ,none
Jennifer Estep ,none
Harper Lee,1926-04-28
Cristiane Serruya,none
Maria Semple,1964-05-21
Suzanne Young ,none
Erich Fromm,none
Jasinda Wilder ,none
Lili Anolik ,none
Claire North,1986-04-27
Jessica O'Gorek ,none
Barry Lyga ,1971-09-11
Rosamund Hodge ,none
Karen Thompson Walker ,none
Chelsea M. Cameron ,none
Brian Courtney ,none
Kurt Vonnegut Jr.,1922-11-11
Elizabeth Haynes ,none
James S.A. Corey ,none
Brent Weeks ,1977-03-07
Jana Oliver ,none
Jennifer Probst ,none
Chad Harbach ,none
Francesca Zappia ,none
Emmy Laybourne ,1947-05-19
Lang Leav ,1980-09-08
Daniel James Brown ,none
Matt Haig ,1975-07-03
Victor Noble ,none
Daniel Kelly ,none
Avery Aster ,none
Aleatha Romig ,none
Claudia Gray ,none
Jesse Andrews ,1982-09-15
Dave Eggers,1970-03-12
Christopher Shields ,none
Meg Cabot ,1967-02-01
Lali A. Love ,none
Amy Harmon ,none
Tiffany Reisz ,none
Allie Brosh ,1985-05-18
Carrie Ryan ,none
Penelope Ward ,none
Chimamanda Ngozi Adichie,1977-09-15
Julianne Donaldson ,none
C.J. Redwine ,none
Rebecca Donovan ,none
Mariam Petrosyan,1969-08-10
Vincent van Gogh,1853-03-30
Andrew Smith,none
Patricia Briggs,none
Masashi Kishimoto,1974-11-08
Catherynne M. Valente ,1979-05-05
Mimi Jean Pamfiloff ,none
Lisa Gillis ,none
Bryn Greenwood ,none
Kate Quinn ,none
Jonathan Stroud ,1970-10-27
K. Bromberg ,none
Sara Raasch ,1989-08-26
Jenny Lawson ,none
Anne Frasier ,none
Kevin Hearne ,1970-12-09
M.G. Wells,none
Shanna Ehrlich ,none
Alexandra Adornetto,none
Elizabeth Hunter ,none
Ann Leckie ,1966-03-02
A.P.J. Abdul Kalam,1931-10-15
Carol Wyer ,none
Michael Scott ,none
Gleb Tsipursky ,none
A. Meredith Walters ,none
Mary Kubica ,none
Lisa Tawn Bergren ,none
Jennifer Lynn Barnes ,none
Chloe Neill ,1975-05-17
Tamara Ireland Stone ,none
Yaa Gyasi,none
Stephen Westaby,none
Margaret Atwood ,1939-11-18
Gary D. Schmidt,1957-04-14
Shin Kyung-sook,1963-01-12
Viet Thanh Nguyen ,1971-03-13
Tanya Thompson,none
Anna Carey ,none
Ava Dellaira ,none
Jess Rothenberg ,none
Alyson Noel ,1965-12-03
Tina Traverse,none
Kelley Armstrong ,1968-12-14
Sally Rooney ,1991-02-20
Derek Landy,1974-10-23
Robyn Schneider ,none
Keigo Higashino,1958-02-04
Erika Johansen ,none
Hector Malot,1830-05-20
Nalini Singh ,1945-09-01
Richard Paul Evans,1962-10-11
Sabaa Tahir ,none
Raine Miller ,none
Randall Munroe ,1984-10-17
Sophie Jordan ,none
Paul Auster,1947-02-03
Liu Cixin ,1963-06-23
Carlos Ruiz Zafón,1964-09-25
Chris Titus ,1964-10-01
Don Phelan ,none
Nikolas Schreck ,none
Ben Aaronovitch ,1964-02-22
Jessica Sorensen ,none
Brett Axel ,none
Angelo Tsanatelis ,none
Téa Obreht ,1985-09-30
Kimberly Brubaker Bradley ,none
Ann Patchett,1963-12-02
Bob Atkinson ,none
John Corey Whaley,1984-01-19
L.A. Weatherly ,none
John Flanagan,none
Janet E. Morris ,1946-05-25
Lois Lowry ,1937-03-20
Elizabeth Gilbert ,1969-07-18
Chuck Klosterman,none
Emily M. Danforth ,1980-01-17
Patrick deWitt,none
Tui T. Sutherland,1978-07-31
Teresa Driscoll ,none
Lori Gottlieb ,none
Amy A. Bartol ,none
Mary Ting ,none
Lili St. Crow,none
Junot Díaz,1968-12-31
Zoe Sugg,1990-03-28
Rae Carson,none
Lisa Gray ,none
Brandon Mull ,1974-11-08
I.M. Nobody,none
Marlo Lanz ,none
Seanan McGuire ,1978-01-05
Lisa McMann ,none
Tessa Dawn ,none
Perie Wolford ,none
Rick Chiantaretto ,none
Bill Courtney ,none
Melissa Landers ,1973-06-13
Chris Kyle,1974-04-08
Alwyn Hamilton ,none
Adrienne Woods ,none
Yuval Noah Harari,1976-02-24
Victoria Selman,none
Kiersten White ,none
Sarah Rees Brennan ,none
Arwen Elys Dayton ,none
B. Kristin McMichael ,none
Brian Selznick,1966-07-14
Katie Kacvinsky ,none
