index,0
W. Bruce Cameron ,1956-07-25
Leif Enger,none
Lionel Shriver ,1957-05-18
Patrick Ness,1971-10-17
Iain Banks,none
Sun Tzu,none
Maria V. Snyder ,1973-04-15
Edith Hamilton,1867-08-12
Aleksandr Solzhenitsyn,1918-12-11
Tim LaHaye,1926-04-27
Jasper Fforde ,1961-01-11
Kim Edwards ,1958-05-04
Karen Marie Moning ,none
Michael Grant ,none
Richard Wright,none
Michael Shaara,none
Nicole Krauss,1974-08-18
Italo Calvino,1923-10-15
Robert Ludlum,1927-05-25
A.S. Byatt,1936-08-24
Thomas Pynchon,1937-05-08
Howard Zinn,1922-08-24
Richard Matheson,1926-02-20
Stephen Hawking,1942-01-08
Sophocles,none
Marissa Meyer ,1984-02-19
Tamora Pierce ,1954-12-13
David McCullough,1933-07-07
Janet Evanovich ,1943-04-22
Ursula K. Le Guin,1929-10-21
Madeline Miller ,1978-07-24
Marie Lu ,1984-07-11
Shirley Jackson,1916-12-14
Robin Hobb ,1952-03-05
Jandy Nelson ,1965-11-25
Clement C. Moore,1779-07-15
Charlotte Perkins Gilman,1860-07-03
John Fowles,1926-03-31
Margaret Atwood ,1939-11-18
Terry Pratchett,1948-04-28
Dave Eggers,1970-03-12
Scott Lynch ,1978-04-02
Tom Robbins,1932-07-22
Henri Charrière,1906-11-16
Louis de Bernières,1954-12-08
Ally Carter ,1974-01-01
Thomas Mann,1875-06-06
Ann Brashares,none
E.L. Konigsburg,1930-02-10
Muriel Barbery,none
Carl Sagan,1934-11-09
Raymond Chandler,1888-07-23
Dee Brown,none
Joseph Campbell,1904-03-26
Alexander McCall Smith ,1948-08-24
Erich Segal,1937-06-16
Rachel Caine ,1962-04-27
Jules Verne,1828-02-08
Sophie Kinsella ,1970-12-12
Dean Koontz ,1945-07-09
J.A. Redmerski ,none
Walter Scott,none
Steven D. Levitt,1967-05-29
Kristin Hannah ,1960-09-25
Virgil,none
Sharon Creech,1945-07-29
Wallace Stegner,1909-02-18
Rosamunde Pilcher,1924-09-22
Jonathan Franzen,1959-08-17
Michael Pollan ,1955-02-06
Walter M. Miller Jr.,1923-01-23
Rudyard Kipling,1865-12-30
Jorge Luis Borges,1899-08-24
David Nicholls,none
Helen Keller,1880-06-27
Katherine Dunn,1945-10-24
Henry James,1843-04-15
Kate DiCamillo ,1964-03-25
Pierce Brown ,1988-01-28
Paula Hawkins ,none
Ned Vizzini,1981-04-04
Kristin Cashore,none
Steve Snyder ,none
Lisa Genova ,1970-11-22
Koushun Takami,1969-01-10
P.L. Travers,1899-08-09
Anne Morrow Lindbergh,1906-06-22
Richard Yates,none
Brian Selznick,1966-07-14
F. Scott Fitzgerald,1896-09-24
Olive Ann Burns,none
Jean-Paul Sartre,1905-06-21
Justin Cronin ,none
Robert Frost,1874-03-26
Leon Uris,1924-08-03
Stephen R. Covey,1932-10-24
Andrew Davidson ,none
Winston Groom,1943-03-23
Mary Doria Russell ,1950-08-19
Angie Thomas ,1988-09-20
Sylvain Reynard ,none
Kate Morton ,none
Robert James Waller,1939-08-01
Jeffrey Archer,1940-04-15
Dennis Lehane ,1965-08-04
James Frey,1969-09-12
Laurell K. Hamilton ,1963-02-19
Jeanne DuPrau,1944-06-09
Jeannette Walls,1960-04-21
Becky Albertalli ,1982-11-17
Catherine Marshall,1914-09-27
Jonathan Stroud ,1970-10-27
Ellen Hopkins ,1955-03-26
Mark Z. Danielewski ,1966-03-05
Tom Clancy,1947-04-12
Hubert SelJr.,none
Irving Stone,none
David Wroblewski,none
Charles Bukowski,1920-08-16
Robin McKinley,1952-11-16
Billie Letts,1938-05-30
William S. Burroughs,1914-02-05
Albert Camus,1913-11-07
L.J. Smith ,1980-05-13
Louis-Ferdinand Céline,1894-05-27
Nevil Shute,1899-01-17
S.C. Stephens ,none
Richard Bachman ,none
Brandon Mull ,1974-11-08
Ken Kesey,1935-09-17
Tammara Webber ,none
Yevgeny Zamyatin,1884-02-01
Mildred D. Taylor,1943-09-13
Colleen Hoover ,1979-12-11
Gary Chapman,none
Marcus Aurelius,121-04-26
J.M. Coetzee,1940-02-09
Aprilynne Pike,none
Junot Díaz,1968-12-31
Gillian Flynn ,1971-02-24
Samuel Taylor Coleridge,1772-10-21
Krishna-Dwaipayana Vyasa,none
Nancy E. Turner,none
David Levithan ,1972-09-07
Nicholas Evans,1950-07-26
Dashiell Hammett,1894-05-27
Robert Musil,1880-11-06
Colleen Houck ,none
Brian Jacques,1939-06-15
Erin Hunter,none
John Flanagan,none
André Aciman ,1951-01-02
Rachel Hawkins ,1992-01-31
Cynthia Hand ,none
Don DeLillo,1936-11-20
Munro Leaf,none
Kim Harrison ,none
Alex Flinn ,1966-10-23
M.M. Kaye,1908-08-21
Aimee Cabo Nikolov ,none
Melissa de la Cruz ,1971-09-07
Henrik Ibsen,1828-03-20
Peter Høeg,1957-05-17
Lauren Weisberger,1977-03-28
Hanya Yanagihara ,none
William Blake,1757-11-28
Augusten Burroughs ,1965-10-23
Tabitha Suzuma ,1975-02-02
James Fenimore Cooper,1789-09-15
Beth Revis ,none
Gary Paulsen,1939-05-17
Sebastian Faulks,1953-04-20
Douglas R. Hofstadter,1945-02-15
John Ajvide Lindqvist,1968-12-02
Andrea Cremer ,none
Jim Butcher ,1971-10-26
Jacqueline Susann,1918-08-20
Alexander Pushkin,1799-06-06
Claudia Gray ,none
Ruta Sepetys ,1967-11-19
Raymond E. Feist,1945-12-21
Sarah Waters,1966-07-21
Patricia Briggs,none
Robert R. McCammon,none
Vincent Bugliosi,1934-08-18
Herman Wouk,1915-05-27
Norman Maclean,1902-12-23
Jon Scieszka,1954-09-08
Trenton Lee Stewart ,1970-05-27
Pablo Neruda,1904-07-12
H.P. Lovecraft,1890-08-20
V.E. Schwab,1987-07-07
Nicola Yoon ,none
Frank E. Peretti,1951-01-13
Alice Hoffman ,1952-03-16
Henry Miller,1891-12-26
Sherman Alexie,1966-10-07
Brent Weeks ,1977-03-07
Günter Grass,1927-10-16
Jennifer L. Armentrout ,1980-06-11
Ann-Marie MacDonald,1958-10-29
Rebecca Skloot ,1972-09-19
Mia Sheridan ,none
Amanda Hocking ,1984-07-12
Jacqueline Carey ,1964-10-09
Ursula Hegi,none
Marjane Satrapi,1969-11-22
Nikos Kazantzakis,1883-03-02
Peter Benchley,1940-05-08
Kathleen Zamboni McCormick ,none
Josephine Angelini ,none
Malcolm Gladwell,1963-09-03
Giovanni Boccaccio,none
James McBride ,none
S.J. Watson ,none
Émile Zola,1840-04-02
Murasaki Shikibu,none
Richard Russo ,1949-07-15
Abbi Glines ,1977-04-16
Laurie R. King ,1952-09-19
Graham Greene,1904-10-02
Geraldine Brooks ,none
Louise Fitzhugh,1928-10-05
Anne Tyler ,1941-10-25
Stephen Crane,1871-11-01
Kenneth Jarrett Singleton,none
John Wyndham,1903-07-10
Joe Abercrombie,1974-12-31
Frank Miller,1957-01-27
Melina Marchetta ,1965-03-25
Julio Cortázar,1914-08-26
Stendhal,1783-01-23
Sara Shepard ,1977-04-08
Veronica Rossi ,1973-06-16
Fernando Pessoa,1888-06-13
John Williams,1932-02-08
James A. Michener,1907-02-03
Mervyn Peake,1911-07-09
Dorothy Allison,1949-04-11
Michael Scott ,none
Alexandra Adornetto,none
Matthew Quick ,1973-10-23
Wendy Higgins ,none
John le Carré,1931-10-19
Charles Baudelaire,none
Marguerite Yourcenar,1903-06-08
Zadie Smith,1975-10-25
Carlos Ruiz Zafón,1964-09-25
Sarah Addison Allen ,none
Meg Cabot ,1967-02-01
Trevor Alan Foris ,none
Maria Nhambu ,none
Anne Brontë,1820-01-17
Ovid,none
Judith Viorst,1931-02-02
Eckhart Tolle,1948-02-16
David Benioff,1970-09-25
Lucy Christopher ,none
Ken Follett ,1949-06-05
Fred Gipson,none
Henryk Sienkiewicz,1846-05-05
Anne Willow ,none
Emily Giffin ,1972-03-20
C.C. Hunter ,none
Fredrik Backman ,1981-06-02
Marilynne Robinson,1943-11-26
E.L. Doctorow,1931-01-06
China Miéville ,1972-09-06
Hans Christian Andersen,1805-04-02
Laurence Sterne,1713-11-24
Amie Kaufman ,none
Theodore Dreiser,1871-08-27
Newt Scamander ,none
Nancy Farmer ,none
Arthur Koestler,1905-09-05
John Howard Griffin,1920-06-16
Frank B. Gilbreth Jr.,none
Laura Joffe Numeroff ,1953-07-14
Jeff Kinney ,1971-02-19
Aravind Adiga,1974-10-23
Sharon M. Draper ,1948-08-21
John Hersey,1914-06-17
Jonas Jonasson,1961-07-06
Margaret Peterson Haddix,1964-04-09
Wilbur Smith,1933-01-09
David Eddings,1931-07-07
Ishmael Beah,1980-11-23
Clive Barker ,1952-10-05
Katie McGarry ,none
Muriel Spark,1918-02-01
Peter V. Brett ,1973-02-08
Rupi Kaur ,1992-10-04
John Scalzi ,1969-05-10
Carrie Jones ,none
Mary Stewart,none
Jenny Han ,none
Spencer Johnson,none
Joe Haldeman,1943-06-09
Juan Gomez-Jurado ,1977-12-16
Jerzy Kosiński,1933-06-14
Flannery O'Connor,1925-03-25
Sidney Sheldon,1917-02-11
Katy Evans ,1976-03-03
Ransom Riggs,1979-02-03
Elizabeth Chandler,1807-12-24
Delia Owens ,none
Terry Brooks ,1944-01-08
Heath Sommer ,none
Lee Child ,1954-10-29
Knut Hamsun,1859-08-04
Flann O'Brien,1911-10-05
Ivan Turgenev,1818-11-09
Derek Landy,1974-10-23
M. Robinson,none
Vikram Seth,1952-06-20
Frederick Forsyth,1938-08-25
Susan Cain ,1968-03-20
Todd Burpo,none
Judi Barrett,none
Susanna Kaysen,1948-11-11
Paul Auster,1947-02-03
Hilary Mantel ,none
Wendelin Van Draanen ,none
Jennifer A. Nielsen ,1971-07-10
Donna Woolfolk Cross ,none
Sena Jeter Naslund,none
Alfred Lansing,none
