isbn,main author
9780061448768,Michael Grant 
9780060837563,Richard Wright
9780345465085,Laura Hillenbrand
9780345348104,Michael Shaara
9780156032971,Umberto Eco
9780393328622,Nicole Krauss
9780752864327,Robert Ludlum
9780765326362,Brandon Sanderson 
9780679735908,A.S. Byatt
9780143039945,Thomas Pynchon
9780060838652,Howard Zinn
9780553380163,Stephen Hawking
9780312642969,Marissa Meyer 
9780689878558,Tamora Pierce 
9780743223133,David McCullough
9780312362089,Janet Evanovich 
9780553383041,Ursula K. Le Guin
9781408816035,Madeline Miller 
9780451222350,J.R. Ward 
9780143039983,Shirley Jackson
9780553573398,Robin Hobb 
9780803734968,Jandy Nelson 
9780307593313,Haruki Murakami
9780385721677,Margaret Atwood 
9781905654581,P.C. Cast 
9780312642976,Marissa Meyer 
9780385537858,Dan Brown 
9780385340397,Diana Gabaldon 
9780552154307,Terry Pratchett
9780375725784,Dave Eggers
9780679763970,Louis de Bernières
9781423100034,Ally Carter 
9780679772873,Thomas Mann
9780385729338,Ann Brashares
9780744583274,E.L. Konigsburg
9781933372600,Muriel Barbery
9780375508325,Carl Sagan
9780394758282,Raymond Chandler
9780399256769,Marie Lu 
9781416914297,Cassandra Clare 
9781400034772,Alexander McCall Smith 
9780451412355,J.R. Ward 
9780553384284,Dean Koontz 
9781250135025,Rainbow Rowell 
9781599900735,Shannon Hale 
9780061234002,Steven D. Levitt
9780312577223,Kristin Hannah 
9780765342409,Orson Scott Card
9780062085535,Tahereh Mafi
9780060739492,Sharon Creech
9780140169300,Wallace Stegner
9780451225856,J.R. Ward 
9781841156736,Jonathan Franzen
9780452281257,Ayn Rand
9781439148501,Stephen King 
9781841493008,Charlaine Harris 
9781594200823,Michael Pollan 
9780060892999,Walter M. Miller Jr.
9780340896969,David Nicholls
9780545123280,Maggie Stiefvater 
9780375713347,Katherine Dunn
9780763616052,Kate DiCamillo 
9781400033423,Toni Morrison
9780345539786,Pierce Brown 
9780618485222,Jhumpa Lahiri
9781594633669,Paula Hawkins 
9780802130303,Jorge Luis Borges
9780786851973,Ned Vizzini
9780803734616,Kristin Cashore
9780060855925,Terry Pratchett
9780765316899,Brandon Sanderson 
9780986076008,Steve Snyder 
9780812969900,Johann Wolfgang von Goethe
9780595440092,Lisa Genova 
9780340837948,Robert A. Heinlein
9780152058104,P.L. Travers
9781442426672,Becca Fitzpatrick 
9780061662768,Kelley Armstrong 
9780394724553,Anne Morrow Lindbergh
9780413757104,Richard Yates
9780525476887,John Green 
9780439813785,Brian Selznick
9780062255655,Neil Gaiman 
