index,0
Daniel Quinn,1935-10-11
Tonya Hurley ,none
Jenny O'Connell,none
Jocelyn Davies ,1959-06-18
Rebecca James ,none
Sherry Argov ,none
Ellen Marie Wiseman ,none
Nina George ,1973-08-30
Jessica Townsend ,1985-04-18
Shelly Laurenston,none
Lisa M. Klein,none
Perry Moore,1971-11-04
Yasunari Kawabata,1899-06-11
Susannah Cahalan ,1985-01-30
C.L. Hunter ,none
Lisa Maxwell ,none
John Carreyrou,none
Simon Singh,1964-09-19
Cynthia Lord,none
Melanie Benjamin ,none
Josh Kilmer-Purcell ,1969-08-28
Lurlene McDaniel ,1944-04-05
Nelson Algren,1909-03-28
Alan Moore ,1953-11-18
Jen Calonita ,none
Lisa Valdez ,none
Barry Hines,1939-06-30
Keith Richards,1943-12-18
Laini Taylor ,1971-12-11
Natalie D. Richards ,none
Lily King ,none
Gary Larson,1950-08-14
Ariana Franklin,1933-08-25
Karsten Knight ,none
Julian Jaynes,1920-02-27
Wilhelm Reich,1897-03-24
Michelle Alexander,1967-10-07
Wendy Alec,none
Noel Streatfeild,none
Marcus Sedgwick ,none
Joey W. Hill ,none
Cherlina Works ,none
Chevy Stevens ,none
Erin A. Craig ,none
Elizabeth Acevedo ,none
Marilyn Wann,none
R.L. Stine ,1943-10-08
Frederick Forsyth,1938-08-25
Alex Scarrow ,1966-02-14
Max Stirner,1806-10-25
Charles Pellegrino,none
Kate Avelynn ,none
Euclid,none
Lang Leav ,1980-09-08
James Dashner ,1972-11-26
Katharine McGee ,none
Kerri Maniscalco ,none
Claire McGowan,none
Anna Funder,none
The Church of Jesus Christ of Latter-day Saints,1830-04-06
Victoria Holt,1906-09-01
Lee Strobel,1952-01-25
Elsa Blomster,none
Ashley Poston ,none
Bruce Campbell,1958-06-22
Eva Rice,none
Christopher Healy ,none
Matthew Kneale,none
Deborah Blum,1954-10-19
Victoria Dougherty ,none
Don DeLillo,1936-11-20
Angie Sage,1952-06-20
Janell Cannon,none
Julie Klassen ,none
Kami Garcia ,1972-03-25
Idries Shah,1924-06-16
Kelly Elliott ,none
Zoje Stage ,none
Ralph Waldo Emerson,1803-05-25
Pope John Paul II,1920-05-18
A.N. Roquelaure ,1941-10-04
Johanna Sinisalo,1958-06-22
C.S. Friedman,1957-01-12
Daniel C. Dennett,1942-03-28
Julian May,1931-07-10
J.D. Barker ,none
Jane Smiley ,1949-09-26
Gordon R. Dickson,1923-11-01
Robert Graysmith ,1942-09-17
Jennifer Crusie ,none
Nova Ren Suma,none
Philip Pullman ,1946-10-19
Boethius,none
Hiroshi Sakurazaka,none
Allen Ginsberg,1926-06-03
Elizabeth Wein ,1964-10-02
L. Frank Baum,1856-05-15
M.K. Eidem ,none
Vicki Hendricks,none
Robert Dugoni ,none
Jenn Bennett ,none
Graham Hancock ,1950-08-02
Laura Whitcomb ,1958-12-19
Alain de Botton ,1969-12-20
Jessica Spotswood ,none
Jen Wang ,1984-03-22
Patrick McCabe,none
Anna Gavalda,1970-05-23
Kevin Brockmeier,1972-12-06
Isuna Hasekura,1982-12-27
Bill Simmons,1969-09-25
Paul Theroux,1941-04-10
Oliver Sacks,1933-07-09
Ray Dalio ,1949-08-08
Michelle Paver,1960-09-07
Irene Hunt,none
Apuleius,none
Banana Yoshimoto,1964-07-24
Elly Blake ,none
Rupert Thomson,none
Joseph Heller,1923-05-01
Maggie O'Farrell ,1972-05-27
Carol Lynch Williams,none
Wayne W. Dyer,none
Jim Harrison,1937-12-11
April Lindner ,none
Shan Sa,1972-10-26
Rachel Van Dyken ,none
Robert Walser,none
Sarina Bowen ,none
V.C. Andrews,1923-06-06
Richard Kadrey,1957-08-27
Natsuki Takaya,1973-07-07
Malcolm Gladwell,1963-09-03
J.M. Johnson ,none
Amy Hempel,1951-12-14
R.J. Anderson ,none
Sarah Crossan ,none
Kate Elliott ,none
Anna Othitis ,none
Eliyahu M. Goldratt,1947-03-31
Kerry Lonsdale ,none
Madeleine L'Engle,1918-11-29
Joan Bauer,none
Anton Myrer,1922-11-03
Isaac Bashevis Singer,1903-11-11
Sarah Mlynowski ,1977-01-04
Peter Watts ,none
Kimberly McCreight ,none
Cathy Octo ,none
John Boyne,1971-04-30
Gary B. Shelly,none
Emery Lord ,none
Lynn Viehl,none
David Almond,1951-05-15
Dante Alighieri,none
Albert B. Facey,none
Sheldon Vanauken,none
Chelsea Fine ,none
Audre Lorde,1934-02-18
Chris Carter,none
Leonard Mlodinow,none
Naomi Novik ,1973-04-30
Elmore Leonard,1925-10-11
James L. Swanson,1959-02-12
Susan Faludi,1959-04-18
Frank Beddor ,none
Xinran,none
Brian Sibley,1949-07-14
Paige Weaver ,none
Jean-Christophe Grangé,none
Steve Silberman,none
Jennifer Mathieu ,none
Christopher Greyson ,none
Angela Sommer-Bodenburg,1948-12-18
Peter Matthiessen,1927-05-22
Mildred D. Taylor,1943-09-13
Helen Hoang ,none
Maddie Dawson ,none
Andrew Sean Greer,1970-11-21
Bryan Davis ,none
Lars Kepler ,none
G. Willow Wilson ,1982-08-31
Joseph O'Connor,1963-09-20
Karen Russell ,1981-07-10
Yōko Ogawa,1962-03-30
Jay Kopelman,none
Jeff VanderMeer ,1968-07-07
Nikos Kazantzakis,1883-03-02
Sara Barnard ,none
Ryszard Kapuściński,1932-03-04
Ottessa Moshfegh,1981-05-20
Allan Frewin Jones,1954-04-30
William Wordsworth,1770-04-07
David Arnold ,1962-01-23
I.T. Lucas ,none
James H. Schmitz,1911-10-15
Melinda Haynes,1955-12-03
Walter Tevis,none
Søren Kierkegaard,1813-05-05
Joseph Boyden,1966-10-31
L.A. Casey ,none
Frank Warren,none
Jack Weatherford,none
Joss Whedon ,1964-06-23
James Goldman,1927-06-30
Evangeline Anderson ,none
Abraham Lopez ,none
Robin Jones Gunn ,none
N.D. Wilson ,none
Bill Willingham ,none
Thomas Aquinas,none
Mira Lyn Kelly ,none
Peter James,none
Markus Heitz,1971-10-10
Katrin Schumann ,none
Nancy Huston,1953-09-16
Laura Moriarty ,none
Pat Murphy ,none
Heinrich Böll,1917-12-21
J.J. Abrams,1966-06-27
Elin Hilderbrand ,none
Ngũgĩ wa Thiong'o,1938-01-05
Mary Karr,1955-01-16
Mia James,none
Dorothea Benton Frank,none
Gilbert Adair,none
Lauren Myracle,1969-05-15
Christopher Daniel Mechling ,none
Laura Kinsale ,none
Louise Gornall ,none
Matthew Farrell ,none
Don Marquis,none
Leah Cypess ,1977-07-05
Katsura Hoshino,1980-04-21
Jack Campbell,none
Michio Kaku,1947-01-24
Bodie Thoene ,none
Steven Pressfield ,none
J.D. Tyler ,none
Jennifer Lauck ,1963-12-15
Hillary Rodham Clinton,1947-10-26
Laura Sebastian ,none
Friedrich Dürrenmatt,1921-01-05
Steven Levy ,1951
William Horwood,none
Tim Bowler,1953-11-14
Megan Hart ,none
Fiona Barton ,none
Noah Hawley ,none
Anthony Powell,1905-12-21
Louise Murphy,none
Storm Constantine ,none
Bridget Zinn,none
Danielle Paige ,none
Connie Glynn,1994-03-16
Stephen Colbert ,1964-05-13
Allan C. Weisbecker,none
Tiffany Reisz ,none
Sarra Manning,none
Kimberley Freeman,none
Kristen Pro,none
Cristin Terrill ,none
Sven Hassel,1917-04-19
Martin Millar ,none
Peter Carey,none
Eric Wilson ,none
Tilly Bagshawe,1973-06-12
Dani Alexander ,none
Magda Szabó,1917-10-05
Stephen R. Lawhead,none
Rabindranath Tagore,1861-05-07
Ruth Warburton ,none
Dylan Thomas,1914-10-27
Sara B. Larson ,none
Albert Camus,1913-11-07
Andy Warhol,1928-08-06
Hayden Herrera,1940-11-20
Larry McMurtry,1936-06-03
Julie Powell,1973-04-20
Danilo Kiš,1935-02-22
Shaun David Hutchinson ,none
Terry Kay,1938-02-10
Morris Gleitzman,1953-01-09
G.I. Gurdjieff,none
Halldór Laxness,1902-04-23
Aurora Rose Reynolds ,none
Larry Correia,none
Robin Roe ,none
Douglas Wood ,none
Olaf Stapledon,1886-05-10
Karen Cushman ,1941-10-04
Amber Lee,none
Jesmyn Ward ,1977-04-01
F. Scott Fitzgerald,1896-09-24
Edward Bloor,1950-10-12
Sally Gardner,none
Ralph Helfer,none
C.J. Cherryh ,1942-09-01
Robert Ludlum,1927-05-25
Patrick Süskind,1949-03-26
Sam Savage,1940-11-09
Ken Liu ,none
Virginia Woolf,1882-01-25
Jeffrey Overstreet ,none
Daniel Wallace,none
Claude Brown,1937-02-23
Jaci Burton ,none
Sarah Alderson ,none
Odette Beane,none
Leopold von Sacher-Masoch,1836-01-27
Jean M. Auel,1936-02-18
Susan Kay,none
Leslie Garland ,none
Beth O'Leary ,none
C.J. Box,none
Gaston Leroux,1868-05-06
Tom Wolfe,1930-03-02
Cherie Priest ,1975-07-30
Aimee Friedman ,none
James George Frazer,1854-01-01
Mel Ryle ,none
Olivia Harvard ,none
Taylor Hartman,none
Barbara Pym,none
Gillian Shields,none
Elizabeth Hunter ,none
Clive Cussler,1931-07-15
Brian K. Vaughan ,1976-07-17
John Gwynne ,none
Kevin Henkes,1960-11-27
Kay Hooper,none
Inga Muscio,none
Jerry Bridges,none
John Hersey,1914-06-17
John Scalzi ,1969-05-10
Michelle Krys ,none
Cody McFadyen,none
Tara Sue Me ,none
T.M. Frazier ,none
Charles Haddon Spurgeon,1834-06-19
Donalyn Miller ,none
Stacey Jay ,none
Ruta Sepetys ,1967-11-19
Claire Monette ,none
Oscar Hijuelos,none
Max Lucado ,1955-01-11
Gustav Meyrink,1868-01-19
Edith Wharton,1862-01-24
David Shannon,1959-10-05
Max Weber,1864-04-21
Annie Jacobsen ,1967-06-28
Marlon James,none
Robert Munsch,1945-06-11
John Perkins ,none
Antonia Fraser,1932-08-27
Black Elk,1863-12-01
Cory Doctorow,1971-07-17
Andrew Smith,none
Will Christopher Baer,none
Umberto Eco,1932-01-05
Mike Mullin ,none
Mira Grant,1978-01-05
Carlos Fuentes,1928-11-11
Matthew Desmond ,none
Toni Morrison,1931-02-18
Kody Keplinger ,1991-08-08
Anne Holm,1922-09-10
Joe Simpson,none
Michelle Falkoff ,none
Dougie Brimson ,none
Gordon Dahlquist,none
Matthew Pearl ,none
J. Sterling ,none
S.M. Stirling,1953-09-30
Jay Lake,1964-06-06
Lori Wick,none
Amanda Grange ,none
Elizabeth Peters,1927-09-29
André Gide,1869-11-22
Winifred Watson,1906-10-20
Meredith Russo ,none
James Hogg,none
Joseph Mitchell,none
Tessa Gratton ,none
Ami McKay ,none
Don Freeman,1908-08-11
Julian Barnes,1946-01-19
MacKinlay Kantor,1904-02-04
Marlene Perez ,none
Barry Unsworth,1930-08-10
Ha Jin,1956-02-21
Robin Hobb ,1952-03-05
René Goscinny,1926-08-14
Bruce Chatwin,1940-05-13
Ann Voskamp,none
Michael Blake,none
Tarryn Fisher ,none
Elvira Woodruff,none
Lynne Ewing,none
Sergei Lukyanenko,1968-04-11
Robert Silverberg,1935-01-15
Edith Pargeter,none
Brendan Behan,1923-02-09
Aleatha Romig ,none
Lothar-Günther Buchheim,1918-02-06
Daniel Kehlmann,1975-01-13
Carrie Vaughn ,1973-01-28
John McPhee,1931-03-08
John Fowles,1926-03-31
John Marsden,none
Jussi Adler-Olsen,none
Kevin Powers,1980-07-11
Mia Sheridan ,none
Annie Dillard,1945-04-30
Louise Rennison,none
Sherri Hayes ,none
Harold Keith,none
Roger Fisher,none
David Benioff ,1970-09-25
Tom Sharpe,1928-03-30
Lisa Mangum ,none
Jo Walton ,none
Larry Niven,1938-04-30
Nicky Charles ,none
Dominique Lapierre,1931-07-30
Victoria Laurie ,none
Renée Knight,none
Hank Green ,1980-05-05
Ali Smith,1962-08-24
Eckhart Tolle,1948-02-16
Alex Garland,1970-05-26
David Wilkerson,1931-05-19
Pam Bachorz ,none
Douglas E. Richards ,none
Iris Johansen ,1938-04-07
Sarah Vowell,1969-12-27
Linda Hogan,none
Kate Summerscale,none
Eloisa James ,none
Jeff Shaara,1952-02-21
Robert Wilson ,none
Steve Harvey,1957-01-17
Jeanne Birdsall,none
Christos Tsiolkas,none
Mark Salzman,1959-12-03
Nick Flynn,1960-01-26
A.W. Tozer,1897-04-21
Mark Millar ,1969-12-24
Irene Gut Opdyke,none
Katherine Anne Porter,1890-05-15
William Gay,none
Daniel H. Pink ,1964-07-23
Patricia Highsmith,1921-01-19
Eugene Burdick,1918-12-12
Russell Hoban,1925-02-04
Petronius,none
Sean Gordon Murphy ,none
John Updike,1932-03-18
Thomas Bernhard,1931-02-09
Theodore Sturgeon,1918-02-26
M.D. Lachlan ,1964-07-14
P.L. Travers,1899-08-09
Daniel J. Levitin,1957-12-27
Letty Scott ,none
Jackie Collins,1937-10-04
Blaine Harden ,none
Elizabeth Norris ,none
Jerzy Kosiński,1933-06-14
Hyeonseo Lee ,1980-01
Lois Lenski,1893-10-14
Chaim Potok,1929-02-17
Matthew J. Kirby,none
Deborah Smith,none
Janette Oke,1935-02-18
Alan Bradley ,none
Andrei Tarkovsky,1932-04-04
Don Van Ryn,none
Dallas Willard,1935-09-04
Jacob Bronowski,1908-01-18
Joseph F. Girzone,none
David Graeber ,1961-02-12
Jon Stewart,1962-11-28
Hilary Duff,1987-09-28
Gennifer Albin ,none
Spike Milligan,1918-04-16
Elisabeth Elliot,1926-12-21
Irma S. Rombauer,1877-10-30
Kinley MacGregor,1965-12-11
Robert Cormier,1925-01-17
Camilla Läckberg ,1974-08-30
Stephen R. Donaldson,1947-05-13
Siobhan Vivian ,1979-01-12
Venedikt Erofeev,1938-10-24
Craig Ferguson,1962-05-17
Scott Speer,1982-06-05
William C. Samples ,none
Daniel Pyle ,none
R.A. McDonald,none
John Zunski ,none
Jilly Cooper,1937-02-21
Giorgio Bassani,1916-03-04
Tom Rachman,none
Sharon Cramer ,none
Dorothy Gravelle ,none
John Kellett ,none
Barry Jordan Jr. ,none
Carrie Salo ,none
Gena D. Lutz ,none
Yoshihiro Togashi,1966-04-27
Hannah Pole ,none
Cheryl McIntyre ,none
Ernest Shurtleff Holmes,none
Carlos Rivera ,1986-03-15
T.S. Krupa ,none
Jorge Amado,1912-08-10
Ludwig von Mises,1881-09-29
Aly Martinez ,none
John Williams,1932-02-08
Jonathan Macpherson ,none
H.L. Roberts ,none
Cliff Lerner ,none
Simon W. Clark ,none
Alan W. Watts,1915-01-06
Cindy Springsteen ,none
J.C. Valentine ,none
Walter Van Tilburg Clark,1909-08-03
Nikolas Lee,none
Neva Squires-Rodriguez ,none
Lisa Terry ,none
Bibhutibhushan Bandyopadhyay,1894-09-12
Eliezer Yudkowsky ,1979-09-11
Elle Kennedy ,none
Muhammad Asad,1900-07-02
Charlie J. Eskew ,none
Vikram Chandra,none
Max Frei ,1965-02-22
Ashley Rhodes-Courter,none
Ben Peller ,none
Luca Rossi ,none
Faraaz Kazi ,none
Meredith T. Taylor ,none
Richard Ford,1944-02-16
Robyn Ellington-Jones ,none
Mark Edwards ,none
Brian Celio,none
R.J. Ellory,none
Sarah L. Thomson ,none
Jonathan Culver ,none
Muna Imady,none
Michael Barnett ,none
Paul Brickhill,1916-12-20
Harlan Ellison ,1934-05-27
Homer Hickam ,1943-02-19
Eva García Sáenz ,none
James R. Hannibal ,none
T.L. Shreffler ,none
Grace Draven ,none
Amish Tripathi ,1974-10-18
Zaman Ali ,none
Greg McKeown,none
Heather Marsh ,none
Nicholas Eames ,none
Claire Legrand ,none
K.J. Kruk ,none
Ali Shaw ,none
Nancy Farmer ,none
Yukito Kishiro,1967-03-20
Simon R. Green,1955-08-25
Conor Grennan ,none
Katie Piper,1983-10-12
Cayla Kluver ,none
Leah Raeder ,none
Alan Dean Foster ,1946-11-18
Suzanne Young ,none
Mord McGhee ,none
Elise Kova ,none
I.V. Olokita ,none
Krista Ritchie ,none
Hilary Freeman,none
Clay Griffith ,none
Félix J. Palma ,none
Jaycee Dugard,1991-06-10
Leonard Seet ,none
Ibi Kaslik,1973-08-20
Ashwin Sanghi ,1969-01-25
Gina Holmes ,none
Aleksandr Solzhenitsyn,1918-12-11
Amanda Sun ,none
John J. Davis,none
Shota Rustaveli,none
K.Hari Kumar ,none
John Ajvide Lindqvist,1968-12-02
Jane Bowles,none
Michael McDowell,none
Georgia Byng,1965-09-06
Beth Aldrich ,none
Alex Bell,none
Alix E. Harrow ,none
Ayn Rand,1905-02-02
Omar Tyree,none
Evan Wright ,none
Noah Gordon,none
Kamila Shamsie,1973-08-13
Jessica Brody ,none
Laura Kaye ,none
Jay Winik,1957-02-08
Jeanne Kalogridis ,none
Sarah Robinson ,none
Meg Waite Clayton ,none
Legs McNeil,1956-01-27
Dmitry Glukhovsky ,1979-06-12
David Eagleman ,1971-04-25
André Aciman ,1951-01-02
Roshani Chokshi ,1991-02-14
Raymond A. Moody Jr.,none
Jamie O'Neill,1962-01-01
Bruce H. Wilkinson,none
Sam Harris,1967-04-09
Nicky Cruz,1938-12-06
Don Rosa,1951-06-29
Jan Potocki,1761-03-08
Sarah Fine ,none
E.L. Doctorow,1931-01-06
Kristi Cook ,none
Austin Tappan Wright,1883-08-20
Katherine Addison ,1974-11-25
Kathleen Rooney ,none
Natasha Pulley,1988-12-04
Chanel Miller,1992-06-12
Geraldine McCaughrean,none
Rebecca Lim ,1986-09-26
Candace Bushnell ,1958-12-01
Naomi Wolf ,1962-11-12
Joan M. Wolf,none
Maggie Thom ,none
Gavin Extence,none
A. Kirk ,none
Brittany Cavallaro ,none
Robert Kolker ,none
Florence Scovel Shinn,1871-09-24
Paul Neilan,none
Emily Maguire,none
Marcel Pagnol,1895-02-28
Michael Thomas Ford,none
Ann-Marie MacDonald,1958-10-29
Thich Nhat Hanh,1926-10-11
Sting,none
O. Henry ,1862-09-11
Mary Wollstonecraft,1759-04-27
Alden Bell,1904-07-11
Joe Egly ,none
Jean Lee Latham,none
Amos Oz,1939-05-04
Matt Ruff ,1965-09-08
Alejandro Jodorowsky,1929-02-17
Jay Bell ,1965-12-11
Susin Nielsen ,none
Robin Stevens ,1960-01-30
Jenna Evans Welch ,none
Rebecca Ross ,none
David Liss ,1966-03-16
Autumn Cornwell ,none
Lori Lansens ,none
Rick Atkinson,none
John Locke,1632-08-29
Janet Lee Carey ,1954-01-11
Dayna Lorentz ,none
Brian Malloy ,none
John McGahern,1934-11-12
Kazu Kibuishi ,1978-04-08
Stacey Lee ,none
Banani Ray ,none
Susan Brownmiller,1935-02-15
Brendon Burchard ,1977-02-28
Tom Spanbauer ,none
Allegra Goodman ,none
Shelena Shorts ,none
Judy Blundell,none
Jeri Smith-Ready ,none
Paul Stewart ,none
Richard Laymon,1947-01-14
Stephen Greenblatt,1943-11-07
Doris Lessing,1919-10-22
Colum McCann ,1965-02-28
Michael Z. Williamson,none
Scott Sigler ,none
David Seltzer,1940-02-12
Amber L. Johnson,none
Sara Raasch ,1989-08-26
Evelyn Skye ,none
Camilla Isley ,none
Michael Rickard ,none
Jackson Lanzing,none
Mary Elizabeth Braddon,none
James D. Watson,1928-04-06
Malorie Blackman ,none
Wes Moore,1978-10-15
Napoleon Hill,1883-10-26
Philip Norman,none
Osho,1931-12-11
Sophie Davis ,none
Hiro Mashima,1977-05-03
Pepper Pace,none
Geraldine Brooks ,none
C.L. Stone ,none
Ismail Kadare,1936-01-28
Ashley Chappell ,none
Giovanna Fletcher ,1985-01-29
Tali Carmi,none
Cammie McGovern ,none
Nick Bilton ,none
Lynette Noni ,none
Nic Stone ,1985-07-10
Jex Lane ,none
Benedict Anderson,1936-08-26
Hitomi Kanehara,1983-08-08
Travis Bradberry ,none
Jane Jacobs,1916-05-04
Sarah Blakley-Cartwright ,2011-03-07
Celine Kiernan ,none
Lesley M.M. Blume,none
Suzanne Enoch,none
David Bayles,none
Wolfram von Eschenbach,none
Julie Halpern ,none
Lesley Pearse,1945-02-24
Holly Smale ,1981-12-07
RoAnna Sylver ,none
M.H. Boroson,none
Robert Crais,1953-06-20
Michael Dante DiMartino ,1974-07-18
Nevil Shute,1899-01-17
Timothy Findley,1930-10-30
Anya Seton,1904-01-23
Erin Hunter ,none
Sunny,none
Lorelei James ,none
George W. Bush ,1946-07-06
Giles Milton,none
Bruce H. Lipton ,1944-10-21
Horace Walpole,1717-09-24
Taro Gomi,none
Alyson Richman ,none
Lindsay Cummings ,none
Waris Dirie,none
Rob Bell,1970-08-23
Tim Tigner ,none
Iain Banks,none
Kaui Hart Hemmings ,none
Jamie Magee ,none
Hannah Harrington ,none
Leonard Cohen,1934-09-21
Kelley York ,none
Christopher Yost,1973-02-21
Anna-Marie McLemore ,none
John Rechy,1931-03-10
Ann Coulter,1961-12-08
Jim Crace,1946-03-01
Christopher Barzak ,1975-07-21
John D. Fitzgerald,1906-02-03
Patricia Gaffney,none
Karen Hancock,none
Milton Steinberg,none
Arthur Schopenhauer,1788-02-22
S. Hussain Zaidi ,none
Terri Anne Browning,none
Ray Kurzweil,1948-02-12
Don Carpenter,none
Han Kang,1970-11-27
Loreth Anne White ,none
Arthur W. Pink,1886-04-01
Keith Waterhouse,none
Megan McDonald,none
Marc Levy ,1961-10-16
Willy Russell,1946-08-23
David Gaider,none
Starhawk ,1951-06-17
Westminster Assembly,none
Arthur Miller,1915-10-17
T.E. Sivec,none
Ella Frank,none
Kevin Barry,1902-01-20
Laura Harrington ,1958-04-29
Catherine McKenzie ,none
Ed Catmull,1945-03-31
Maria Dahvana Headley ,1977-06-21
Francesca Zappia ,none
Joe R. Lansdale,1951-10-28
James Franco,1978-04-19
Ian Caldwell,1976-03-18
Annette Marie ,none
Heather Demetrios ,none
Carmen Maria Machado ,1986-07-03
Kohei Horikoshi,1986-11-20
Alberto Moravia,1907-11-28
John Gardner,none
Donna Leon,none
Jenny B. Jones ,none
Galway Kinnell,1927-02-01
Marya Hornbacher,1974-04-04
Michael Ende,1929-11-12
Robert Coover,1932-02-04
Judith O'Brien,none
Betty Smith,1896-12-15
Mo Yan,1955-02-17
Leon Uris,1924-08-03
Jessica Park ,2001-10-21
Martin Page ,1959-09-23
Thierry Jonquet,none
Stuart Hill,none
Brian Moore,none
Adam Mickiewicz,1798-12-24
Addison D'marko ,none
Ian W. Toll ,none
David J. Schwartz,none
Francine Prose ,1947-04-01
Megan Bostic ,none
Victoria Michaels ,none
Regina Doman ,none
Robison Wells ,1978-04-04
Howard Pyle,1853-03-05
Kitty Thomas ,none
Sharon M. Draper ,1948-08-21
Natalie Goldberg,1948-01-04
Ben Elton,1959-05-03
Karen Amanda Hooper ,none
José Carlos Somoza,1959-11-13
Chris Columbus,none
Calia Read ,none
Nick Vujicic,1982-12-04
Emily Bleeker ,none
Joey Graceffa,1991-05-16
Hubert SelJr.,none
Robert Jackson Bennett ,none
V.E. Schwab ,1987-07-07
Philip Yancey ,1949-11-04
Stuart Gibbs ,1969-06-11
D.B. Shan,none
Luis Carlos Montalván,none
Mindy McGinnis ,none
Nadia Hashimi ,1977-12-12
Miriam Toews,none
Lisa Gardner ,none
Jim Grimsley ,1955-09-21
Charles Stross ,1964-10-18
Ingeborg Bachmann,1926-06-25
Liv Constantine ,none
Gregory Maguire,1954-06-09
Lauren Conrad,1986-02-01
Lauren Brooke,none
Justin Bieber,1994-03-01
Kitty Fitzgerald,1946-09-25
Bree Despain ,none
Robert Alter,none
Daron Acemoğlu,1967-09-03
Emily Dickinson,1830-12-10
Bella Forrest ,none
Inio Asano,1980-09-22
Susan Jeffers,none
Robert Musil,1880-11-06
Gary Soto,1952-04-12
Russell Banks,1940-03-28
Peter Tompkins,none
Marina Nemat ,1965-04-22
Alice Miller,none
Mark Oliver Everett,1963-04-10
Amy Kathleen Ryan ,none
Jami Brumfield ,none
Monica Furlong,1930-01-17
Barbara Goldsmith,1931-05-18
William Ritter ,none
Charlie N. Holmberg ,1988-04-04
Jaclyn Moriarty,none
Mary Westmacott ,1890-09-15
Alan Dean Foster,1946-11-18
Naomi Klein,1970-05-08
Henry Miller,1891-12-26
Wolf Erlbruch,1948-06-30
Zoraida Córdova ,1987-06-26
Lucy Dillon ,none
Michael Balkind ,none
Jenni James ,none
Laura Thalassa ,none
Bill Browder ,1964-04-23
Sheryl Sandberg,1969-08-28
Helen C. Escott ,none
T.J. Klune ,none
Henry Adams,1838-02-16
Caroline Miller,none
Lucy Grealy,none
Michael E. Gerber,none
Elizabeth Vaughan,none
Joshilyn Jackson ,none
Tehmina Durrani,1953-02-18
Jack Welch,1935-11-19
Germaine Greer,1939-01-29
Amanda Stone ,none
Laura Nowlin ,none
Julio Cortázar,1914-08-26
Karen White ,none
Mike Scantlebury ,none
Emily Carroll,none
Miriam Sawan ,none
Alistair MacLean,1922-04-21
Blanche Fisher Wright,none
Alexander Hamilton,1755-01-11
David Simon,1960-02-09
Witi Ihimaera,1944-02-07
Eilis O'Neal ,none
Dai Sijie,1954-03-02
Karin Fossum,1954-11-06
Shannen Crane Camp ,none
W.C. Sellar,none
Tom Rob Smith,1979-02-19
Stacey O'Brien,none
Penelope Douglas ,none
Caroline Kepnes ,1976-11-10
Katherine Applegate,1956-10-09
P.D. James,1920-08-03
Aleister Crowley,1875-10-12
Kerrelyn Sparks ,none
Lorrie Moore,1957-01-13
Warren Fellows,1953-09-13
Megan Crewe ,none
Smedley D. Butler,1881-07-30
Rabih Alameddine,none
Rita Leganski,none
Peter Heller,none
Jorge Luis Borges,1899-08-24
William B. Irvine,none
A.G. Riddle ,none
Al Ries,1926-11-14
Richard Scarry,1919-06-05
Margaret Sidney,1844-06-22
Nicholson Baker ,1957-01-07
Virginia M. Axline,none
Paul Krugman ,1953-02-28
E.R. Braithwaite,1912-06-27
Norman G. Finkelstein,1953-12-08
Lex Thomas ,none
Nicole Krauss,1974-08-18
Lawrence Wright ,1947-08-02
Mark Owen,1972-01-27
Alberto Manguel ,none
Bill James,1949-10-05
Chris Bradford ,none
Washington Irving,1783-04-03
Robert W. Doubek,none
Jenny Offill,none
Melissa Bashardoust ,none
Nella Larsen,1891-04-13
Erskine Caldwell,none
Joseph Smith Jr.,1830-04-06
Siobhan Dowd,1960-02-04
Margo Lanagan ,none
Carolyn Mackler ,none
Cornelius Ryan,none
Margaret Edson,none
Carey Corp ,none
Katherine Rundell,none
Kevin Brooks,none
Bill Brown ,none
Pyotr Kropotkin,1842-12-09
Gloria Naylor,1950-01-25
Tom Robbins,1932-07-22
Cherrie Lynn ,none
Ngaio Marsh,1895-04-23
Priscilla Glenn ,none
Dahlia Lu,none
Madeline Sheehan ,none
Pearl S. Buck,1892-06-26
Douglas R. Hofstadter ,1945-02-15
Angie Thomas ,1988-09-20
Emma Clayton ,none
Misty Bernall,none
John Jakes,1932-03-31
Alisa Kwitney ,none
Virginia Euwer Wolff,none
Flavia Bujor,none
Zoë Heller,1965-07-07
Marquis de Sade,1740-06-02
Dav Pilkey,1966-03-04
Ann Leckie ,1966-03-02
Catherine Steadman,1987-02-08
Wendy Holden ,none
Shaunti Feldhahn ,none
Johanna Reiss ,1932-04-04
James Clemens ,none
Kenneth Roberts,none
Will Self,1961-09-26
Sarah Prineas ,none
Dorothy L. Sayers,1893-06-13
Dennis Higgins ,1939-08-04
Wallace D. Wattles,none
Lissa Price ,none
Tupac Shakur,1971-06-16
James S.A. Corey ,none
Terry Deary,1946-01-03
William Nicholson,none
Brian Keenan,none
Sandra Brown ,1948-03-12
Darryl Brock,none
Carrie Fisher,1956-10-21
Jonah Lehrer ,1981-06-25
Elizabeth Richards ,none
Michelle Lovric,none
Jodi Meadows ,none
Tommy Wallach ,none
Anthony Ray Hinton,1956-06-01
Glenn Beck,1964-02-10
William Boyd,none
Frank Cottrell Boyce,1959-09-23
Steven D. Levitt,1967-05-29
Jonathan Maberry ,1958-05-18
Adriana Trigiani ,none
Beverly Cleary,1916-04-12
Atsushi Ohkubo,1979-09-20
Harold Bloom ,1930-07-11
Zen Cho ,none
