index,0
Jessica Warman,none
Marian Keyes,1963-09-10
J.D. Robb ,1950-10-10
J.K. Accinni,none
Hunter S. Thompson,1937-07-18
Tobias Wolff,1945-06-19
Eoin Colfer,1965-05-14
John Twelve Hawks,none
Niccolò Ammaniti,none
Anne Carson,1950-06-21
Jude Watson ,none
Frank Herbert,1920-10-08
Bernard Malamud,1914-04-26
Pittacus Lore,none
Kate Mosse,1961-10-20
Isobelle Carmody ,1958-06-16
Bette Greene ,1934-06-28
Rachel Ward ,1957-09-12
Dan Howell,1991-06-11
Shūsaku Endō,1923-03-27
Paul Zindel,1936-05-15
Jacqueline Carey ,1964-10-09
Jack Ketchum,1946-11-10
Ann Brashares,none
Connie Willis,1945-12-31
J.R.R. Tolkien,1892-01-03
Jhumpa Lahiri,1967-07-11
Henry James,1843-04-15
Salman Rushdie,1947-06-19
Garth Nix ,1963-07-19
Bill Bryson,1951-12-08
Augusten Burroughs ,1965-10-23
Brené Brown ,1965-11-18
Luis Sepúlveda,1949-10-04
Bryan Stevenson,1959-11-14
Catherine Anderson ,1948-12-22
Nancy Garden,1938-05-15
Thea Harrison ,none
R.A. Salvatore,1959-01-20
Lara Adrian ,none
Vicki Myron,none
Colin Meloy,1974-10-05
Friedrich Nietzsche,1844-10-15
Maeve Binchy,1939-05-28
Wendell Berry,1934-08-05
A.S. King ,1970-03-10
Jan-Philipp Sendker ,none
Chris Colfer,1990-05-27
Kim Holden ,none
Denis Johnson,1949-07-01
Tim O'Brien,none
David Foster Wallace,1962-02-21
Kim Harrison ,none
Michel Houellebecq,1956-02-26
Sarah Addison Allen ,none
Nassim Nicholas Taleb ,1960-09-12
Ferenc Molnár,1878-01-12
Rachel Hawkins ,1992-01-31
Anne Fortier ,none
Sinclair Lewis,1885-02-07
Kevin Kwan ,none
Joe Abercrombie,1974-12-31
H. Rider Haggard,1856-06-22
Eva Ibbotson,1925-01-21
Sister Souljah,none
C.S. Lewis,1898-11-29
Bryan Lee O'Malley ,1979-02-21
Clare Mackintosh ,none
George Eliot,1819-11-22
J.G. Ballard,1930-11-15
Robert Louis Stevenson,1850-11-13
Tad Williams ,1957-03-14
Mark Lawrence ,none
Joseph Murphy,none
Nora Sakavic ,none
Nisargadatta Maharaj,1897-04-17
